window,theta,n_seeds,facilities_with_event,event_rate,bad_POINT,bad_INTERVAL,bad_MARGIN,d_point_minus_interval,d_seed_min,d_seed_max,seeds_sign_holds,rel_reduction_vs_point,d_point_minus_margin,d_margin_minus_interval,seeds_beats_margin,abst_POINT,abst_INTERVAL,abst_MARGIN,abst_cost_pp,km_POINT,km_INTERVAL,km_MARGIN
weekday,0.85,20,5,0.0718562874251497,0.008749999999999966,0.0,0.0,0.008749999999999966,0.0033333333333333,0.0133333333333333,20,1.0,0.008749999999999966,0.0,0,0.0,0.0,0.0,0.0,1.2971596146626867,1.5906996781064147,1.4492867036746575
weekday,0.9,20,3,0.0547904191616766,0.00016666666666666,8.333333333333e-05,0.0,8.333333333333e-05,0.0,0.0016666666666666,1,0.5,0.00016666666666666,-8.333333333333e-05,0,0.0,0.0,0.0,0.0,1.1868943661684213,1.3052572500071267,1.2105808041283508
weekday,0.925,20,3,0.0523952095808383,0.0064166666666666304,0.00024999999999999,0.0,0.00616666666666664,0.0016666666666666,0.0116666666666666,20,0.9610389610389622,0.0064166666666666304,-0.00024999999999999,0,0.0,0.0,0.0,0.0,1.1677199394440014,1.220714615295878,1.188491651316231
weekday,0.95,20,1,0.0362275449101796,0.00149999999999997,0.0,0.00058333333333332,0.00149999999999997,0.0,0.0066666666666666,11,1.0,0.0009166666666666501,0.00058333333333332,5,0.0,0.0,0.0,0.0,1.153229009150951,1.1616791848850623,1.1587028041545773
weekend,0.85,20,14,0.3350340136054421,0.03933333333333329,0.002999999999999955,0.003999999999999975,0.03633333333333334,0.015,0.0483333333333334,20,0.9237288135593233,0.035333333333333314,0.00100000000000002,10,0.0,0.0,0.0,0.0,1.966268157798456,2.2322356039205458,2.37636821995469
weekend,0.9,20,12,0.2074829931972789,0.04549999999999997,0.0017499999999999651,0.006499999999999969,0.04375000000000001,0.024999999999999998,0.06,20,0.9615384615384623,0.03900000000000001,0.004750000000000006,18,0.0,0.0,0.0,0.0,1.5991719724626243,1.9123150735306447,2.0209179280583176
weekend,0.925,20,8,0.1404761904761904,0.027499999999999962,0.00599999999999997,0.00224999999999997,0.02149999999999999,0.011666666666666601,0.0366666666666667,20,0.7818181818181826,0.025249999999999995,-0.00375,3,0.0,0.0,0.0,0.0,1.2878609286671159,1.5779312032813355,1.8630865198976678
weekend,0.95,20,6,0.1034013605442176,0.013083333333333285,0.003583333333333305,8.333333333333e-05,0.00949999999999998,0.005,0.018333333333333302,20,0.7261146496815298,0.012999999999999956,-0.0034999999999999754,0,0.0,0.0,0.0,0.0,1.2226201464048834,1.3297051746307293,1.7246890789725355
