contrast,facility_id,max_abs_yhat,max_abs_resid,dPICP,dMPIW,dWinkler
"n_jobs=-1 run 1 vs run 2, same process",8,1.4210854715202004e-14,7.105427357601002e-15,0.0,3.552713678800501e-15,0.0
n_jobs=-1 vs n_jobs=1,8,1.4210854715202004e-14,7.105427357601002e-15,0.0,3.552713678800501e-15,0.0
