facility_id,dynamic,method,commit_target,commit_rate,MAE_cars,MAE_pct,committed_PICP,committed_MPIW,gamma,n_cal_b,n_test,degenerate,abst_lift_night,abst_lift_am_rush,abst_lift_midday,abst_lift_pm_rush,abst_lift_evening
1,False,commit-all,1.0,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,width-ACQR,0.1,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,random,0.1,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,width-ACQR,0.2,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,random,0.2,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,width-ACQR,0.3,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,random,0.3,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,width-ACQR,0.4,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,random,0.4,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,width-ACQR,0.5,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,random,0.5,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,width-ACQR,0.6,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,random,0.6,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,width-ACQR,0.7,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,random,0.7,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,width-ACQR,0.8,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,random,0.8,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,width-ACQR,0.9,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,random,0.9,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,width-ACQR,1.0,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
1,False,random,1.0,1.0,0.0,0.0,1.0,0.0,0.002,380,1015,True,,,,,
2,True,commit-all,1.0,1.0,3.7677711419379283,1.154549584154012,0.8926108374384236,15.112155306606281,0.005,380,1015,False,,,,,
2,True,width-ACQR,0.1,0.2857142857142857,1.3056976347731675,0.4001019712898137,0.9379310344827586,6.482371563102134,0.005,380,1015,False,0.5599999999999999,0.896875,1.3552,1.2198830409356725,1.1606837606837606
