horizon,h,facility_id,method,gamma,window_mult,PICP,MPIW,Winkler
y_t+5min,1,2,split-CP,,,0.9360865290068829,10.046373015872973,12.552211759870547
y_t+5min,1,2,ACI,0.002,1.0,0.8820058997050148,7.8277249717761075,12.325815943770712
y_t+5min,1,2,ACI,0.005,1.0,0.8908554572271387,7.733619379873564,11.981319210270051
y_t+5min,1,2,ACI,0.01,1.0,0.895771878072763,7.6562949759097805,11.741144472893003
y_t+5min,1,2,ACI,0.02,1.0,0.8977384464110127,7.721657534751936,11.547445261719606
y_t+5min,1,2,ACI,0.05,1.0,0.8967551622418879,7.505634643007312,11.422608103557469
y_t+5min,1,2,ACI,0.1,1.0,0.8888888888888888,7.402880193516381,11.218647229659531
y_t+5min,1,3,split-CP,,,0.9036381514257621,8.340841269841286,12.746248479078377
y_t+5min,1,3,ACI,0.002,1.0,0.8977384464110127,8.176249592508437,12.868974363549338
y_t+5min,1,3,ACI,0.005,1.0,0.8987217305801377,8.026199959660136,12.713055590736515
y_t+5min,1,3,ACI,0.01,1.0,0.8977384464110127,7.77832435974201,12.504408385607256
y_t+5min,1,3,ACI,0.02,1.0,0.8977384464110127,7.283507902209228,11.952346916903702
y_t+5min,1,3,ACI,0.05,1.0,0.895771878072763,7.283278197166102,10.94089908814737
y_t+5min,1,3,ACI,0.1,1.0,0.887905604719764,7.175362287954226,10.836987326395882
y_t+5min,1,4,split-CP,,,0.9321533923303835,11.06256878306876,15.77246609632399
y_t+5min,1,4,ACI,0.002,1.0,0.8997050147492626,9.590935116169382,15.549526925776439
y_t+5min,1,4,ACI,0.005,1.0,0.8967551622418879,9.45694291798372,15.392096086130994
y_t+5min,1,4,ACI,0.01,1.0,0.8977384464110127,9.067648639044409,15.06950537921236
y_t+5min,1,4,ACI,0.02,1.0,0.8987217305801377,9.016042872292132,14.784764508735016
y_t+5min,1,4,ACI,0.05,1.0,0.8977384464110127,9.357809598391702,14.301042561302642
y_t+5min,1,4,ACI,0.1,1.0,0.8928220255653884,9.556426430010502,14.221102597737312
y_t+5min,1,5,split-CP,,,0.9193706981317601,7.600658730158732,11.831243933221812
y_t+5min,1,5,ACI,0.002,1.0,0.8849557522123894,6.163480446644655,11.727322501836262
y_t+5min,1,5,ACI,0.005,1.0,0.8918387413962635,6.404155303325903,11.414132224052585
y_t+5min,1,5,ACI,0.01,1.0,0.895771878072763,6.497405072312154,11.1438873530963
y_t+5min,1,5,ACI,0.02,1.0,0.8967551622418879,6.7930656722006315,10.948962459051204
y_t+5min,1,5,ACI,0.05,1.0,0.8947885939036382,6.451917459966381,10.339695892157305
y_t+5min,1,5,ACI,0.1,1.0,0.8859390363815143,7.098421030197093,10.575557066617785
y_t+5min,1,6,split-CP,,,0.8938053097345132,4.117412698412706,6.9288553285819745
y_t+5min,1,6,ACI,0.002,1.0,0.904621435594887,4.479431184533446,6.9591825103590095
y_t+5min,1,6,ACI,0.005,1.0,0.9006882989183874,4.422921409629373,6.9293032549591045
y_t+5min,1,6,ACI,0.01,1.0,0.8977384464110127,4.564620705107922,6.923005098037546
y_t+5min,1,6,ACI,0.02,1.0,0.8967551622418879,4.665066618330139,6.639346419431474
y_t+5min,1,6,ACI,0.05,1.0,0.8967551622418879,4.661331426949174,6.334769922973708
y_t+5min,1,6,ACI,0.1,1.0,0.8928220255653884,4.609169480661368,6.6139323668156
y_t+5min,1,7,split-CP,,,0.8603736479842674,20.687460317460314,35.49833656838082
y_t+5min,1,7,ACI,0.002,1.0,0.8977384464110127,23.751652331598986,35.10131302525183
y_t+5min,1,7,ACI,0.005,1.0,0.8997050147492626,23.67560170074108,35.05922550492044
y_t+5min,1,7,ACI,0.01,1.0,0.8987217305801377,24.16914446258792,34.68313808377427
y_t+5min,1,7,ACI,0.02,1.0,0.8977384464110127,25.176051357624857,34.538180147750204
y_t+5min,1,7,ACI,0.05,1.0,0.8967551622418879,24.183152010795574,31.809159116785477
y_t+5min,1,7,ACI,0.1,1.0,0.8898721730580138,23.771929339615923,32.181289257803265
y_t+5min,1,9,split-CP,,,0.8092428711897739,3.3329973544973654,9.023893076005189
y_t+5min,1,9,ACI,0.002,1.0,0.8770894788593904,4.858899519969111,8.46687407045596
y_t+5min,1,9,ACI,0.005,1.0,0.8820058997050148,4.752515021805848,7.722070881474794
y_t+5min,1,9,ACI,0.01,1.0,0.8888888888888888,4.698012903062572,6.851145574771917
y_t+5min,1,9,ACI,0.02,1.0,0.8898721730580138,4.568259181102603,6.217269080395183
y_t+5min,1,9,ACI,0.05,1.0,0.8859390363815143,3.961738150810917,5.72335247497688
y_t+5min,1,9,ACI,0.1,1.0,0.8790560471976401,3.6594331075894497,5.624217654136527
y_t+15min,3,2,split-CP,,,0.9349753694581281,22.070281746031696,26.596532078348563
y_t+15min,3,2,ACI,0.002,1.0,0.8847290640394089,17.666486975668015,26.36180967486262
y_t+15min,3,2,ACI,0.005,1.0,0.8935960591133005,17.549469703485716,25.627166966995777
y_t+15min,3,2,ACI,0.01,1.0,0.8955665024630541,17.101138676822178,24.656859873067994
y_t+15min,3,2,ACI,0.02,1.0,0.8975369458128079,16.748221480936504,24.5633545012641
y_t+15min,3,2,ACI,0.05,1.0,0.8886699507389163,15.94900199342712,25.020959179645384
y_t+15min,3,2,ACI,0.1,1.0,0.8738916256157635,16.28245529527032,25.527073925864315
y_t+15min,3,3,split-CP,,,0.9004926108374385,17.30349735449735,28.28359576766966
y_t+15min,3,3,ACI,0.002,1.0,0.8995073891625616,17.88006527460862,28.98053804239912
y_t+15min,3,3,ACI,0.005,1.0,0.8975369458128079,18.682841359288403,29.464625369932023
y_t+15min,3,3,ACI,0.01,1.0,0.8945812807881773,18.218177279124813,28.895561021545504
y_t+15min,3,3,ACI,0.02,1.0,0.8916256157635468,17.80660242253641,27.731158773045966
y_t+15min,3,3,ACI,0.05,1.0,0.8876847290640394,15.990260793958823,24.56642731845786
y_t+15min,3,3,ACI,0.1,1.0,0.8758620689655172,15.860458395946326,24.979289865698973
y_t+15min,3,4,split-CP,,,0.9586206896551724,28.517990740740746,35.16182982120051
y_t+15min,3,4,ACI,0.002,1.0,0.9073891625615763,21.211762767837897,33.33545996144888
y_t+15min,3,4,ACI,0.005,1.0,0.8985221674876848,20.28810798377867,33.33731522508689
y_t+15min,3,4,ACI,0.01,1.0,0.896551724137931,19.739758631826117,33.155007341062515
y_t+15min,3,4,ACI,0.02,1.0,0.896551724137931,20.512345908652556,33.59286868035267
y_t+15min,3,4,ACI,0.05,1.0,0.8906403940886699,21.68882566931335,34.11675331665233
y_t+15min,3,4,ACI,0.1,1.0,0.8768472906403941,20.272195029227294,33.028439430784495
y_t+15min,3,5,split-CP,,,0.8945812807881773,15.060436507936402,27.580129305013546
y_t+15min,3,5,ACI,0.002,1.0,0.8886699507389163,14.833530325066283,27.561950457661293
y_t+15min,3,5,ACI,0.005,1.0,0.8945812807881773,15.421251324646889,27.56133667261401
y_t+15min,3,5,ACI,0.01,1.0,0.896551724137931,16.282685829669322,28.226472395867216
y_t+15min,3,5,ACI,0.02,1.0,0.8945812807881773,15.879546265602665,27.87534557111379
y_t+15min,3,5,ACI,0.05,1.0,0.8837438423645321,15.38673305883133,27.522091641044597
y_t+15min,3,5,ACI,0.1,1.0,0.8630541871921182,16.325669053068804,27.813590945899563
y_t+15min,3,6,split-CP,,,0.8945812807881773,8.478773809523801,14.968359711944684
y_t+15min,3,6,ACI,0.002,1.0,0.9044334975369458,9.25062989560157,15.139474509936331
y_t+15min,3,6,ACI,0.005,1.0,0.9014778325123153,9.51697643370131,15.208531851828157
y_t+15min,3,6,ACI,0.01,1.0,0.8975369458128079,9.932381145491984,15.349003311321043
y_t+15min,3,6,ACI,0.02,1.0,0.8935960591133005,9.640219396522106,15.312795030885917
y_t+15min,3,6,ACI,0.05,1.0,0.8876847290640394,9.441663095534278,14.065777816518457
y_t+15min,3,6,ACI,0.1,1.0,0.8719211822660099,10.472915633818836,15.394988910569454
y_t+15min,3,7,split-CP,,,0.8364532019704434,47.24847222222223,90.93409319976683
y_t+15min,3,7,ACI,0.002,1.0,0.8955665024630541,60.33765907882485,87.72565440506402
