arm,fold,facility_id,dynamic,low_info,partition,cell,method,PICP,MPIW,n_cell,cramers_v,degenerate
A_folds,F1,2,True,False,day_of_week,Mon,split-CP,0.8591549295774648,19.29726984126989,142,0.4764097121063032,False
A_folds,F1,2,True,False,day_of_week,Tue,split-CP,0.8421052631578947,19.29726984126989,285,0.4764097121063032,False
A_folds,F1,2,True,False,day_of_week,Wed,split-CP,1.0,19.29726984126989,36,0.4764097121063032,False
A_folds,F1,2,True,False,day_of_week,Mon,Mondrian-split-CP,0.9366197183098592,21.894509501453182,142,0.4764097121063032,False
A_folds,F1,2,True,False,day_of_week,Tue,Mondrian-split-CP,0.9017543859649124,20.38846390977444,285,0.4764097121063032,False
A_folds,F1,2,True,False,day_of_week,Wed,Mondrian-split-CP,1.0,14.1573253968254,36,0.4764097121063032,False
A_folds,F1,2,True,False,day_of_week,Mon,ACI,0.9225352112676056,19.82215893085788,142,0.4764097121063032,False
A_folds,F1,2,True,False,day_of_week,Tue,ACI,0.8771929824561403,20.315847772208294,285,0.4764097121063032,False
A_folds,F1,2,True,False,day_of_week,Wed,ACI,1.0,15.07197648442092,36,0.4764097121063032,False
A_folds,F1,2,True,False,day_of_week,Mon,ToD-ACI,0.9154929577464788,20.80934664298925,142,0.4764097121063032,False
A_folds,F1,2,True,False,day_of_week,Tue,ToD-ACI,0.8912280701754386,22.160750593233924,285,0.4764097121063032,False
A_folds,F1,2,True,False,day_of_week,Wed,ToD-ACI,1.0,5.99994058641973,36,0.4764097121063032,False
A_folds,F1,2,True,False,occupancy_tercile,low,split-CP,0.7676348547717843,19.29726984126989,241,0.680143160067593,False
A_folds,F1,2,True,False,occupancy_tercile,mid,split-CP,0.9629629629629628,19.2972698412699,135,0.680143160067593,False
A_folds,F1,2,True,False,occupancy_tercile,high,split-CP,0.9540229885057472,19.297269841269905,87,0.680143160067593,False
A_folds,F1,2,True,False,occupancy_tercile,low,Mondrian-split-CP,0.8838174273858921,23.509417358229605,241,0.680143160067593,False
A_folds,F1,2,True,False,occupancy_tercile,mid,Mondrian-split-CP,0.9555555555555556,17.788836243386267,135,0.680143160067593,False
A_folds,F1,2,True,False,occupancy_tercile,high,Mondrian-split-CP,0.9655172413793104,15.656710363072431,87,0.680143160067593,False
A_folds,F1,2,True,False,occupancy_tercile,low,ACI,0.8879668049792531,25.1231393085169,241,0.680143160067593,False
A_folds,F1,2,True,False,occupancy_tercile,mid,ACI,0.925925925925926,16.78170202732795,135,0.680143160067593,False
A_folds,F1,2,True,False,occupancy_tercile,high,ACI,0.896551724137931,9.50744815699413,87,0.680143160067593,False
A_folds,F1,2,True,False,occupancy_tercile,low,ToD-ACI,0.8838174273858921,23.9319340799818,241,0.680143160067593,False
A_folds,F1,2,True,False,occupancy_tercile,mid,ToD-ACI,0.9333333333333332,16.808278120713293,135,0.680143160067593,False
A_folds,F1,2,True,False,occupancy_tercile,high,ToD-ACI,0.9310344827586208,16.666957976038436,87,0.680143160067593,False
A_folds,F1,2,True,False,random_5,r0,split-CP,0.898989898989899,19.29726984126989,99,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r3,split-CP,0.8247422680412371,19.29726984126989,97,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r2,split-CP,0.8823529411764706,19.2972698412699,102,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r4,split-CP,0.8809523809523809,19.2972698412699,84,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r1,split-CP,0.8024691358024691,19.29726984126989,81,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r0,Mondrian-split-CP,0.9696969696969696,20.21425404842072,99,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r3,Mondrian-split-CP,0.8865979381443299,20.477991858942893,97,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r2,Mondrian-split-CP,0.9411764705882352,20.83812986305633,102,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r4,Mondrian-split-CP,0.9166666666666666,20.116248204837504,84,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r1,Mondrian-split-CP,0.8765432098765432,20.08105952380953,81,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r0,ACI,0.9393939393939394,19.89267163457567,99,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r3,ACI,0.865979381443299,18.028082945309745,97,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r2,ACI,0.9117647058823528,20.764853685076723,102,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r4,ACI,0.9047619047619048,20.63754394282966,84,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r1,ACI,0.8765432098765432,19.47761768033064,81,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r0,ToD-ACI,0.9595959595959596,20.70011952376093,99,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r3,ToD-ACI,0.865979381443299,19.61453501633914,97,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r2,ToD-ACI,0.9117647058823528,22.302579506550096,102,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r4,ToD-ACI,0.9404761904761904,19.93724958341922,84,0.0982555974931848,False
A_folds,F1,2,True,False,random_5,r1,ToD-ACI,0.8518518518518519,19.570681473761724,81,0.0982555974931848,False
A_folds,F1,2,True,False,time_of_day,midday,split-CP,0.6859504132231405,19.29726984126989,121,1.0,False
A_folds,F1,2,True,False,time_of_day,pm_rush,split-CP,0.84375,19.29726984126989,96,1.0,False
A_folds,F1,2,True,False,time_of_day,evening,split-CP,0.935483870967742,19.2972698412699,93,1.0,False
A_folds,F1,2,True,False,time_of_day,night,split-CP,0.9809523809523808,19.29726984126989,105,1.0,False
A_folds,F1,2,True,False,time_of_day,am_rush,split-CP,0.9166666666666666,19.29726984126989,48,1.0,False
A_folds,F1,2,True,False,time_of_day,midday,Mondrian-split-CP,0.9008264462809916,27.170730158730155,121,1.0,False
A_folds,F1,2,True,False,time_of_day,pm_rush,Mondrian-split-CP,0.8541666666666666,19.55777380952384,96,1.0,False
A_folds,F1,2,True,False,time_of_day,evening,Mondrian-split-CP,0.9247311827956988,18.64180952380957,93,1.0,False
A_folds,F1,2,True,False,time_of_day,night,Mondrian-split-CP,0.9714285714285714,14.1573253968254,105,1.0,False
A_folds,F1,2,True,False,time_of_day,am_rush,Mondrian-split-CP,0.9791666666666666,21.74967063492056,48,1.0,False
A_folds,F1,2,True,False,time_of_day,midday,ACI,0.8677685950413223,26.13835531624788,121,1.0,False
A_folds,F1,2,True,False,time_of_day,pm_rush,ACI,0.9375,23.29320559764309,96,1.0,False
A_folds,F1,2,True,False,time_of_day,evening,ACI,0.913978494623656,20.206257225351305,93,1.0,False
A_folds,F1,2,True,False,time_of_day,night,ACI,0.961904761904762,11.89294804965757,105,1.0,False
A_folds,F1,2,True,False,time_of_day,am_rush,ACI,0.75,12.92758622685185,48,1.0,False
A_folds,F1,2,True,False,time_of_day,midday,ToD-ACI,0.9008264462809916,29.16693821926467,121,1.0,False
A_folds,F1,2,True,False,time_of_day,pm_rush,ToD-ACI,0.875,19.47150447931698,96,1.0,False
A_folds,F1,2,True,False,time_of_day,evening,ToD-ACI,0.9032258064516128,19.73633114297093,93,1.0,False
A_folds,F1,2,True,False,time_of_day,night,ToD-ACI,0.961904761904762,12.604736054421764,105,1.0,False
A_folds,F1,2,True,False,time_of_day,am_rush,ToD-ACI,0.875,19.360395144400343,48,1.0,False
A_folds,F1,3,True,False,day_of_week,Mon,split-CP,0.8380281690140845,16.155006427453632,142,0.4764097121063032,False
A_folds,F1,3,True,False,day_of_week,Tue,split-CP,0.8807017543859649,16.57822367408422,285,0.4764097121063032,False
A_folds,F1,3,True,False,day_of_week,Wed,split-CP,1.0,17.641535714285737,36,0.4764097121063032,False
A_folds,F1,3,True,False,day_of_week,Mon,Mondrian-split-CP,0.8732394366197183,21.210875666033253,142,0.4764097121063032,False
A_folds,F1,3,True,False,day_of_week,Tue,Mondrian-split-CP,0.8807017543859649,16.580326051239222,285,0.4764097121063032,False
A_folds,F1,3,True,False,day_of_week,Wed,Mondrian-split-CP,1.0,9.792170634920636,36,0.4764097121063032,False
A_folds,F1,3,True,False,day_of_week,Mon,ACI,0.9014084507042254,21.014584808937805,142,0.4764097121063032,False
A_folds,F1,3,True,False,day_of_week,Tue,ACI,0.8947368421052632,16.385630185522725,285,0.4764097121063032,False
A_folds,F1,3,True,False,day_of_week,Wed,ACI,1.0,10.053617497728608,36,0.4764097121063032,False
A_folds,F1,3,True,False,day_of_week,Mon,ToD-ACI,0.8943661971830986,21.312190565531235,142,0.4764097121063032,False
A_folds,F1,3,True,False,day_of_week,Tue,ToD-ACI,0.8947368421052632,15.875531071154317,285,0.4764097121063032,False
A_folds,F1,3,True,False,day_of_week,Wed,ToD-ACI,1.0,6.993529381112712,36,0.4764097121063032,False
A_folds,F1,3,True,False,occupancy_tercile,low,split-CP,0.7671232876712328,14.12008989108306,146,0.8066195923499866,False
A_folds,F1,3,True,False,occupancy_tercile,mid,split-CP,0.8368794326241135,17.641535714285737,141,0.8066195923499866,False
A_folds,F1,3,True,False,occupancy_tercile,high,split-CP,1.0,17.641535714285737,176,0.8066195923499866,False
A_folds,F1,3,True,False,occupancy_tercile,low,Mondrian-split-CP,0.7808219178082192,14.949692999383926,146,0.8066195923499866,False
A_folds,F1,3,True,False,occupancy_tercile,mid,Mondrian-split-CP,0.8936170212765957,23.78569678036701,141,0.8066195923499866,False
A_folds,F1,3,True,False,occupancy_tercile,high,Mondrian-split-CP,0.9715909090909092,14.508051068722956,176,0.8066195923499866,False
A_folds,F1,3,True,False,occupancy_tercile,low,ACI,0.8698630136986302,18.913001229681026,146,0.8066195923499866,False
A_folds,F1,3,True,False,occupancy_tercile,mid,ACI,0.8794326241134752,22.980652652837048,141,0.8066195923499866,False
A_folds,F1,3,True,False,occupancy_tercile,high,ACI,0.9545454545454546,11.445089045897282,176,0.8066195923499866,False
A_folds,F1,3,True,False,occupancy_tercile,low,ToD-ACI,0.8698630136986302,20.522831136709563,146,0.8066195923499866,False
A_folds,F1,3,True,False,occupancy_tercile,mid,ToD-ACI,0.8865248226950354,21.56559961741699,141,0.8066195923499866,False
A_folds,F1,3,True,False,occupancy_tercile,high,ToD-ACI,0.9431818181818182,10.031486257324326,176,0.8066195923499866,False
A_folds,F1,3,True,False,random_5,r0,split-CP,0.8787878787878788,16.587800805675826,99,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r3,split-CP,0.8144329896907216,16.822840619622855,97,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r2,split-CP,0.9215686274509804,15.93884180153545,102,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r4,split-CP,0.8928571428571429,16.608011889014886,84,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r1,split-CP,0.8765432098765432,16.77848473120389,81,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r0,Mondrian-split-CP,0.9292929292929292,17.460195199347993,99,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r3,Mondrian-split-CP,0.7628865979381443,17.610133400152744,97,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r2,Mondrian-split-CP,0.931372549019608,16.62485912050007,102,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r4,Mondrian-split-CP,0.9285714285714286,17.912054862685824,84,0.0982555974931848,False
