facility_id,dynamic,horizon,MAE_RFdelta,MAE_persist
1,False,y_t+5min,0.0,0.0
1,False,y_t+15min,0.0,0.0
1,False,y_t+30min,0.0,0.0
2,True,y_t+5min,1.6148223866743023,2.1890962671905703
2,True,y_t+15min,3.444667269216632,5.83857236411264
2,True,y_t+30min,5.167324888703039,10.97119600808633
3,True,y_t+5min,1.616148839172906,1.993123772102161
3,True,y_t+15min,3.429006899502847,5.132285527177473
3,True,y_t+30min,5.352807164657086,9.621982218615644
4,True,y_t+5min,1.9660661635761096,2.6784544859201045
4,True,y_t+15min,4.21887671439108,7.064014407334644
4,True,y_t+30min,6.690056335605723,13.394631061188464
5,True,y_t+5min,1.391868550244778,1.7421414538310418
5,True,y_t+15min,3.2779914668392074,4.627537655533726
5,True,y_t+30min,5.739214002031037,8.588492639731214
6,True,y_t+5min,0.9720622883219888,0.9299279633267844
6,True,y_t+15min,2.096189905711148,2.0744924688932547
6,True,y_t+30min,2.9659388387035106,3.1871373252470034
7,True,y_t+5min,4.933728433980523,5.88867059593975
7,True,y_t+15min,12.515609130764094,16.271938441388343
7,True,y_t+30min,19.92838179060108,29.152596025170123
8,True,y_t+5min,4.702705294123761,0.2141453831041257
8,True,y_t+15min,10.861376894470952,0.6424361493123772
8,True,y_t+30min,14.615622138075585,1.2848722986247545
9,True,y_t+5min,0.9090230094706956,1.0032743942370663
9,True,y_t+15min,2.0959389743633388,2.499345121152589
9,True,y_t+30min,3.657117231840424,4.670910566327838
10,False,y_t+5min,0.2523766034136859,0.1876227897838899
10,False,y_t+15min,0.5640520439094849,0.4628356254092992
10,False,y_t+30min,0.8497752522581734,0.7359201047806155
11,True,y_t+5min,0.6772605461599814,0.6440733464309104
11,True,y_t+15min,1.4121809089322594,1.5222658808120495
11,True,y_t+30min,2.3406112633734977,2.755099513111813
12,True,y_t+5min,1.52129815109125,1.402586771447282
12,True,y_t+15min,3.4759370506067464,3.3104125736738705
12,True,y_t+30min,5.877131707182976,5.535924731642038
13,True,y_t+5min,1.7000474612931638,3.0753110674525206
13,True,y_t+15min,3.845208575369184,8.778650949574327
13,True,y_t+30min,6.3053433851047895,16.966915805358617
14,True,y_t+5min,2.251045660317271,2.607727570399476
14,True,y_t+15min,5.272379360189035,6.946627373935821
14,True,y_t+30min,9.243645876224559,13.200176888471285
15,True,y_t+5min,1.1207972853203703,1.0455140798952196
15,True,y_t+15min,2.4289164694270298,2.546005239030779
15,True,y_t+30min,4.009492502894401,4.586857222174767
16,True,y_t+5min,0.6993582863554622,0.6527504911591355
16,True,y_t+15min,1.4910190867534925,1.473804846103471
16,True,y_t+30min,2.2960218506097854,2.5769906181486864
17,True,y_t+5min,0.931319647026916,0.9037328094302554
17,True,y_t+15min,1.995696496256418,2.0685985592665355
17,True,y_t+30min,3.1411536209846376,3.502275703994761
18,True,y_t+5min,0.7933113063580896,0.7732481990831694
18,True,y_t+15min,1.6162915282845294,1.8153241650294696
18,True,y_t+30min,2.4595336757001727,3.0535043136584945
19,True,y_t+5min,1.1927960689078076,1.204649639816634
19,True,y_t+15min,2.3776576454861083,2.7416502946954813
19,True,y_t+30min,3.38440462283597,4.6522297912929576
20,True,y_t+5min,0.7624006873392926,0.7290438768827767
20,True,y_t+15min,1.5092248239327073,1.5402750491159136
20,True,y_t+30min,2.047352164966574,2.3718384299991455
21,True,y_t+5min,0.9205394959629978,0.8313686967910936
21,True,y_t+15min,1.9485398055657142,1.8279305828421744
21,True,y_t+30min,2.9656562109313835,2.8690356197147007
22,True,y_t+5min,1.387127032971213,1.3487229862475443
22,True,y_t+15min,2.8039152047199685,3.4690569744597255
22,True,y_t+30min,4.007458611601288,6.449516670937615
23,True,y_t+5min,0.757417125400794,0.7560576293385725
23,True,y_t+15min,1.4328897213851781,1.8041912246234446
23,True,y_t+30min,1.9532395746889006,3.2238504028928556
24,True,y_t+5min,0.5824500119187004,0.4793713163064833
24,True,y_t+15min,1.4179131973680106,1.2319908316961363
24,True,y_t+30min,2.2336764075637054,2.214936220494861
