arm,dataset,facility_id,horizon,level,method,PICP,MPIW,Winkler,picp_lo,picp_hi,n_test,dynamic,degenerate,cal_score_max,status
A3_v2_daychunk,birmingham,1,y_t+60min,0.9,EnbPI,0.8444444444444444,63.25030247997028,106.5875560683496,0.7803030303030303,0.9166666666666666,135,True,False,66.63171428571428,ok
A3_v2_daychunk,birmingham,1,y_t+60min,0.9,AgACI-style,0.8888888888888888,74.37962650797363,107.34204304772824,0.8333333333333334,0.9318181818181818,135,True,False,66.63171428571428,ok
A3_v2_daychunk,birmingham,1,y_t+60min,0.9,NGBoost,0.3333333333333333,18.238089633671844,217.95885853579225,0.2575757575757575,0.4015151515151515,135,True,False,66.63171428571428,ok
A3_v2_daychunk,birmingham,1,y_t+60min,0.9,NGBoost-conformal,0.9333333333333332,78.17961543620264,96.47229632835628,0.8863636363636364,0.9696969696969696,135,True,False,66.63171428571428,ok
A3_v2_daychunk,birmingham,1,y_t+60min,0.9,ACI-crosscheck,0.8666666666666667,84.21215286863342,113.45571201833148,0.803030303030303,0.9166666666666666,135,True,False,66.63171428571428,ok
A3_v2_daychunk,birmingham,2,y_t+60min,0.9,EnbPI,0.8448275862068966,47.35788905236889,77.3034123896029,0.7807017543859649,0.912280701754386,116,True,False,53.31188095238096,ok
A3_v2_daychunk,birmingham,2,y_t+60min,0.9,AgACI-style,0.8706896551724138,59.99484999121298,94.33367040405446,0.8157894736842105,0.9385964912280702,116,True,False,53.31188095238096,ok
A3_v2_daychunk,birmingham,2,y_t+60min,0.9,NGBoost,0.3620689655172414,13.134531598155132,238.2707527641332,0.2631578947368421,0.4912280701754385,116,True,False,53.31188095238096,ok
A3_v2_daychunk,birmingham,2,y_t+60min,0.9,NGBoost-conformal,0.8448275862068966,53.288442360015935,151.1344762614527,0.7719298245614035,0.9385964912280702,116,True,False,53.31188095238096,ok
A3_v2_daychunk,birmingham,2,y_t+60min,0.9,ACI-crosscheck,0.8706896551724138,60.278110666393,97.62699288451014,0.8157894736842105,0.9385964912280702,116,True,False,53.31188095238096,ok
