facility_id,dynamic,partition,cell,method,PICP,MPIW,n_cell,cramers_v_vs_tod,degenerate
2,True,time_of_day,evening,Mondrian-split-CP,0.9401709401709402,15.767980158730206,117,1.0,False
2,True,time_of_day,night,ACI,0.9754385964912281,17.647584719374194,285,1.0,False
2,True,time_of_day,am_rush,ACI,0.8177083333333334,16.942208152331858,192,1.0,False
2,True,time_of_day,midday,ACI,0.824,18.167713879749886,250,1.0,False
2,True,time_of_day,pm_rush,ACI,0.8538011695906432,18.223475388808723,171,1.0,False
2,True,time_of_day,evening,ACI,0.9487179487179487,17.016033406922315,117,1.0,False
2,True,time_of_day,night,ToD-ACI,0.9473684210526315,5.9309804975401486,285,1.0,False
2,True,time_of_day,am_rush,ToD-ACI,0.8958333333333334,22.18589464147928,192,1.0,False
2,True,time_of_day,midday,ToD-ACI,0.892,22.075576566137567,250,1.0,False
2,True,time_of_day,pm_rush,ToD-ACI,0.8654970760233918,20.47595652571385,171,1.0,False
2,True,time_of_day,evening,ToD-ACI,0.905982905982906,15.088238853738844,117,1.0,False
2,True,day_of_week,Sat,split-CP,0.952,22.070281746031693,250,0.1528295627562024,False
2,True,day_of_week,Sun,split-CP,0.992,22.070281746031693,250,0.1528295627562024,False
2,True,day_of_week,Mon,split-CP,0.8819444444444444,22.070281746031696,288,0.1528295627562024,False
2,True,day_of_week,Tue,split-CP,0.920704845814978,22.070281746031693,227,0.1528295627562024,False
2,True,day_of_week,Sat,Mondrian-split-CP,0.96,19.076617698412694,250,0.1528295627562024,False
2,True,day_of_week,Sun,Mondrian-split-CP,0.976,18.02960869841269,250,0.1528295627562024,False
2,True,day_of_week,Mon,Mondrian-split-CP,0.8993055555555556,18.806135582010576,288,0.1528295627562024,False
2,True,day_of_week,Tue,Mondrian-split-CP,0.947136563876652,19.111322180267106,227,0.1528295627562024,False
2,True,day_of_week,Sat,ACI,0.94,20.244431042328042,250,0.1528295627562024,False
2,True,day_of_week,Sun,ACI,0.96,15.258646315055318,250,0.1528295627562024,False
2,True,day_of_week,Mon,ACI,0.7743055555555556,15.608963933732172,288,0.1528295627562024,False
2,True,day_of_week,Tue,ACI,0.8810572687224669,20.089574132345074,227,0.1528295627562024,False
2,True,day_of_week,Sat,ToD-ACI,0.948,18.443763650793656,250,0.1528295627562024,False
2,True,day_of_week,Sun,ToD-ACI,0.972,16.083932537758546,250,0.1528295627562024,False
2,True,day_of_week,Mon,ToD-ACI,0.8194444444444444,14.98802105045161,288,0.1528295627562024,False
2,True,day_of_week,Tue,ToD-ACI,0.8942731277533039,16.683496725170723,227,0.1528295627562024,False
2,True,occupancy_tercile,mid,split-CP,0.9509433962264151,22.070281746031696,265,0.5880139457230762,False
2,True,occupancy_tercile,high,split-CP,0.9834905660377359,22.070281746031696,424,0.5880139457230762,False
2,True,occupancy_tercile,low,split-CP,0.8588957055214724,22.070281746031696,326,0.5880139457230762,False
2,True,occupancy_tercile,mid,Mondrian-split-CP,0.9509433962264151,18.757755944893685,265,0.5880139457230762,False
2,True,occupancy_tercile,high,Mondrian-split-CP,0.9740566037735849,14.647551587301583,424,0.5880139457230762,False
2,True,occupancy_tercile,low,Mondrian-split-CP,0.8987730061349694,24.078609151329225,326,0.5880139457230762,False
2,True,occupancy_tercile,mid,ACI,0.9358490566037736,18.114939255084543,265,0.5880139457230762,False
2,True,occupancy_tercile,high,ACI,0.9575471698113207,16.79481318576602,424,0.5880139457230762,False
2,True,occupancy_tercile,low,ACI,0.7484662576687117,18.43565824214982,326,0.5880139457230762,False
2,True,occupancy_tercile,mid,ToD-ACI,0.9320754716981132,17.16026460562499,265,0.5880139457230762,False
2,True,occupancy_tercile,high,ToD-ACI,0.9528301886792453,12.141778685609461,424,0.5880139457230762,False
