window,policy,n_seeds,n_base,n_slots,excluded,anchor,margin_m,assigned_rate_mean,assigned_rate_sd,assigned_rate_min,assigned_rate_max,assigned_rate_ci_lo,assigned_rate_ci_hi,overflow_rate_mean,overflow_rate_sd,overflow_rate_min,overflow_rate_max,overflow_rate_ci_lo,overflow_rate_ci_hi,unserved_or_overflow_rate_mean,unserved_or_overflow_rate_sd,unserved_or_overflow_rate_min,unserved_or_overflow_rate_max,unserved_or_overflow_rate_ci_lo,unserved_or_overflow_rate_ci_hi,mean_straight_line_km_mean,mean_straight_line_km_sd,mean_straight_line_km_min,mean_straight_line_km_max,mean_straight_line_km_ci_lo,mean_straight_line_km_ci_hi,p90_straight_line_km_mean,p90_straight_line_km_sd,p90_straight_line_km_min,p90_straight_line_km_max,p90_straight_line_km_ci_lo,p90_straight_line_km_ci_hi
weekday,INTERVAL,20,20,167,8,9;12;7;13,9.7778,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.122297,0.059197,1.014286,1.224578,1.096564,1.147797,3.211498,0.207293,2.766004,3.47789,3.119664,3.298231
weekday,MARGIN,20,20,167,8,9;12;7;13,9.7778,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.122339,0.059228,1.014286,1.224578,1.096617,1.147853,3.211498,0.207293,2.766004,3.47789,3.119664,3.298231
weekday,POINT,20,20,167,8,9;12;7;13,9.7778,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.122297,0.059197,1.014286,1.224578,1.096564,1.147797,3.211498,0.207293,2.766004,3.47789,3.119664,3.298231
weekend,INTERVAL,20,20,147,8,9;23;18;5,9.0149,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.181741,0.067663,1.040186,1.292178,1.151402,1.21037,3.295929,0.220558,2.774018,3.556048,3.195338,3.386808
weekend,MARGIN,20,20,147,8,9;23;18;5,9.0149,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.450104,0.062323,1.330624,1.567974,1.42308,1.476427,3.481981,0.20274,3.074718,3.876058,3.392757,3.567975
weekend,POINT,20,20,147,8,9;23;18;5,9.0149,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.124602,0.059611,1.014706,1.232414,1.098531,1.150172,3.211498,0.207293,2.766004,3.47789,3.119664,3.298231
