fold,facility_id,method,PICP,MPIW,Winkler,n_test
F1,2,split-CP,0.8614072494669509,19.359630952380943,28.80163594494032,469
F1,2,ACI,0.906183368869936,21.97757225596405,29.79113431579476,469
F1,2,CQR,0.9147121535181236,18.836053642305437,24.900513476479926,469
F1,2,ACQR,0.906183368869936,21.27348072698077,27.346536818056883,469
F1,3,split-CP,0.8784648187633263,16.545307376998764,24.825325058125163,469
F1,3,ACI,0.9125799573560768,19.075956867384374,24.87125657222033,469
F1,3,CQR,0.8891257995735607,15.375992413814432,22.14000855709032,469
F1,3,ACQR,0.908315565031983,17.686717220409935,23.02581736157671,469
F1,4,split-CP,0.8997867803837953,27.95713182874543,45.9774027197039,469
F1,4,ACI,0.9019189765458422,29.024197012643445,41.99596247414238,469
F1,4,CQR,0.9104477611940298,23.045505895104025,39.075190687182825,469
F1,4,ACQR,0.9019189765458422,32.426645392328396,42.05305511244323,469
F1,5,split-CP,0.9211087420042644,32.39987445887448,50.14863230333594,469
F1,5,ACI,0.8955223880597015,46.572364939628805,68.19504479432358,469
F1,5,CQR,0.9466950959488273,21.05167432044198,34.94767461506906,469
F1,5,ACQR,0.908315565031983,35.225489262601705,50.094162048143104,469
F1,6,split-CP,0.9509594882729211,11.996899470899463,13.016176442052771,469
F1,6,ACI,0.9147121535181236,9.760873542768532,11.764688058624627,469
F1,6,CQR,0.9509594882729211,10.03854620170758,10.945149680459101,469
F1,6,ACQR,0.908315565031983,8.68637547226944,10.482669388875658,469
F1,7,split-CP,0.9360341151385928,55.28272222222222,69.4522446600229,469
F1,7,ACI,0.9040511727078892,65.01048523333651,84.80899678555275,469
F1,7,CQR,0.9275053304904051,49.9768308439156,58.37774483267194,469
F1,7,ACQR,0.9040511727078892,50.890579532667076,64.34958217953873,469
F1,8,split-CP,0.8486140724946695,19.678919021671682,79.21230089349173,469
F1,8,ACI,0.8912579957356077,25.11402925898235,46.898654214497505,469
F1,8,CQR,0.8742004264392325,18.67760196871079,30.992889381931644,469
F1,8,ACQR,0.908315565031983,25.37894928845738,35.42897903145277,469
F1,9,split-CP,0.9019189765458422,5.472555555555573,6.804470598973797,469
F1,9,ACI,0.9125799573560768,6.274859450941543,7.450358196648193,469
F1,9,CQR,0.8635394456289979,4.061583310625976,6.386987646623544,469
F1,9,ACQR,0.9040511727078892,6.049218801833169,7.04275836203343,469
F1,11,split-CP,0.906183368869936,6.4312786359380185,10.381749957438123,469
F1,11,ACI,0.9125799573560768,8.846622143995544,11.717745685225696,469
F1,11,CQR,0.8528784648187633,5.003473116963891,8.870149458749857,469
F1,11,ACQR,0.9040511727078892,10.077761196326444,12.622163631853649,469
F1,12,split-CP,0.9253731343283582,14.466087301587322,18.672708560372747,469
