arm,dataset,facility_id,horizon,level,method,PICP,MPIW,Winkler,picp_lo,picp_hi,n_test,dynamic,degenerate,cal_score_max,status
A3_v2_daychunk,belgrade,1,y_t+15min,0.9,NGBoost,,,,,,1015,False,True,0.0,FAILED ValueError: Input y contains NaN.
A3_v2_daychunk,belgrade,1,y_t+15min,0.9,NGBoost-conformal,,,,,,1015,False,True,0.0,FAILED ValueError: Input y contains NaN.
A3_v2_daychunk,belgrade,1,y_t+15min,0.9,EnbPI,1.0,0.0,0.0,1.0,1.0,1015,False,True,0.0,ok
A3_v2_daychunk,belgrade,1,y_t+15min,0.9,AgACI-style,1.0,0.0,0.0,1.0,1.0,1015,False,True,0.0,ok
A3_v2_daychunk,belgrade,1,y_t+15min,0.9,ACI-crosscheck,1.0,0.0,0.0,1.0,1.0,1015,False,True,0.0,ok
A3_v2_daychunk,belgrade,5,y_t+15min,0.9,EnbPI,0.9645320197044336,24.27924527596557,29.19598503273769,0.949404761904762,0.9791666666666666,1015,True,False,39.21140873015872,ok
A3_v2_daychunk,belgrade,5,y_t+15min,0.9,AgACI-style,0.9044334975369458,15.773333779450072,26.73554367882673,0.8759920634920635,0.9275793650793652,1015,True,False,39.21140873015872,ok
A3_v2_daychunk,belgrade,5,y_t+15min,0.9,NGBoost,0.8926108374384236,13.5695013418661,23.73596359832652,0.8621031746031746,0.9206349206349206,1015,True,False,39.21140873015872,ok
A3_v2_daychunk,belgrade,5,y_t+15min,0.9,NGBoost-conformal,0.903448275862069,14.012611129122488,23.72471801876161,0.8740079365079365,0.929563492063492,1015,True,False,39.21140873015872,ok
A3_v2_daychunk,belgrade,5,y_t+15min,0.9,ACI-crosscheck,0.896551724137931,16.282685829669322,28.22647239586722,0.8611111111111112,0.9275793650793652,1015,True,False,39.21140873015872,ok
A3_v2_daychunk,belgrade,6,y_t+15min,0.9,EnbPI,0.9467980295566504,11.102385572146684,15.296319671491071,0.921626984126984,0.9702380952380952,1015,True,False,8.924736111111116,ok
A3_v2_daychunk,belgrade,6,y_t+15min,0.9,AgACI-style,0.9133004926108376,9.80938300833676,14.464612542991064,0.8898809523809523,0.935515873015873,1015,True,False,8.924736111111116,ok
A3_v2_daychunk,belgrade,6,y_t+15min,0.9,NGBoost,0.8226600985221675,6.528396799415585,14.370708469163702,0.7906746031746031,0.8511904761904762,1015,True,False,8.924736111111116,ok
A3_v2_daychunk,belgrade,6,y_t+15min,0.9,NGBoost-conformal,0.8906403940886699,8.082092860101817,13.730025833603095,0.8611111111111112,0.9166666666666666,1015,True,False,8.924736111111116,ok
A3_v2_daychunk,belgrade,6,y_t+15min,0.9,ACI-crosscheck,0.8935960591133005,9.508412317521923,15.180987951885736,0.8660714285714286,0.9196428571428572,1015,True,False,8.924736111111116,ok
A3_v2_daychunk,belgrade,7,y_t+15min,0.9,EnbPI,0.8778325123152709,55.90991908683691,87.29965353928695,0.8363095238095238,0.9107142857142856,1015,True,False,62.702277777777766,ok
A3_v2_daychunk,belgrade,7,y_t+15min,0.9,AgACI-style,0.8985221674876848,62.06930509446074,83.43737042626437,0.8680555555555556,0.921626984126984,1015,True,False,62.702277777777766,ok
A3_v2_daychunk,belgrade,7,y_t+15min,0.9,NGBoost,0.716256157635468,33.847146105617114,80.58521684350092,0.6646825396825397,0.7579365079365079,1015,True,False,62.702277777777766,ok
A3_v2_daychunk,belgrade,7,y_t+15min,0.9,NGBoost-conformal,0.8108374384236453,39.46980850108223,73.25128272004288,0.7609126984126984,0.8492063492063492,1015,True,False,62.702277777777766,ok
A3_v2_daychunk,belgrade,7,y_t+15min,0.9,ACI-crosscheck,0.8926108374384236,65.08852865045007,87.34360891473972,0.8581349206349206,0.9186507936507936,1015,True,False,62.702277777777766,ok
A3_v2_daychunk,belgrade,9,y_t+15min,0.9,EnbPI,0.8009852216748768,7.826528327948577,24.853623476121165,0.7192460317460317,0.8799603174603174,1015,True,False,7.572908730158815,ok
A3_v2_daychunk,belgrade,9,y_t+15min,0.9,AgACI-style,0.9044334975369458,9.760399104391094,14.629729435209468,0.8680555555555556,0.939484126984127,1015,True,False,7.572908730158815,ok
A3_v2_daychunk,belgrade,9,y_t+15min,0.9,NGBoost,0.6926108374384237,3.5547987006814803,21.90028322642844,0.6140873015873016,0.7708333333333334,1015,True,False,7.572908730158815,ok
A3_v2_daychunk,belgrade,9,y_t+15min,0.9,NGBoost-conformal,0.8088669950738916,6.089629262641942,18.242642788531217,0.7410218253968253,0.8779761904761905,1015,True,False,7.572908730158815,ok
A3_v2_daychunk,belgrade,9,y_t+15min,0.9,ACI-crosscheck,0.8778325123152709,9.919810841111078,15.099078924241232,0.8343253968253969,0.9156746031746033,1015,True,False,7.572908730158815,ok
