city,horizon,family,contrast,n_fac,mean_a,mean_b,mean_diff,boot_lo95,boot_hi95,boot_p,pct_facilities_favouring_a,wilcoxon_p_raw,wilcoxon_p_holm,significant_holm_005
belgrade,y_t+15min,D-dispersion,ACI vs split-CP,21,0.00889045273281728,0.029533192587379763,-0.020642739854562484,-0.03237156931738209,-0.010086793338024853,0.0004,80.95238095238095,0.0008516311645507812,0.002429962158203125,True
belgrade,y_t+15min,D-dispersion,ACI vs CQR,21,0.00889045273281728,0.02174524982406754,-0.012854797091250264,-0.021019235280319005,-0.005489092188599572,0.0006,76.19047619047619,0.0027850926282358144,0.0027850926282358144,True
belgrade,y_t+15min,D-dispersion,ACQR vs CQR,21,0.006028618343889299,0.02174524982406754,-0.015716631480178243,-0.023973727422003262,-0.008397841895378818,0.0,80.95238095238095,0.0006074905395507812,0.002429962158203125,True
belgrade,y_t+15min,D-dispersion,ACQR vs split-CP,21,0.006028618343889299,0.029533192587379763,-0.023504574243490464,-0.035561810931269026,-0.012760966455547695,0.0,80.95238095238095,0.0007954692501476803,0.002429962158203125,True
belgrade,y_t+15min,E-efficiency,ACI vs split-CP,21,22.446972928436885,23.925942620107833,-1.4789696916709456,-2.563193674643804,-0.5807783680251308,0.0,71.42857142857143,0.0018587112426757812,0.0037174224853515625,True
belgrade,y_t+15min,E-efficiency,ACI vs CQR,21,22.446972928436885,19.62627404422272,2.8206988842141616,1.718160653908172,4.19366737254555,0.0,9.523809523809524,6.67572021484375e-05,0.0002002716064453125,True
belgrade,y_t+15min,E-efficiency,ACQR vs CQR,21,19.340870296876624,19.62627404422272,-0.2854037473461048,-0.7631986931577347,0.08009102432096742,0.1494,52.38095238095239,0.5854024887084961,0.5854024887084961,False
belgrade,y_t+15min,E-efficiency,ACQR vs split-CP,21,19.340870296876624,23.925942620107833,-4.585072323231212,-6.582733464638521,-3.0272879517552793,0.0,100.0,9.5367431640625e-07,3.814697265625e-06,True
birmingham,y_t+60min,D-dispersion,ACI vs split-CP,28,0.015698664455400524,0.03844160842950902,-0.022742943974108504,-0.0349168785403068,-0.011213919872280188,0.0,78.57142857142857,0.0007964638739779909,0.0031858554959119634,True
birmingham,y_t+60min,D-dispersion,ACI vs CQR,28,0.015698664455400524,0.032605200265558486,-0.016906535810157962,-0.026896249710313368,-0.00795315674088769,0.0004,71.42857142857143,0.0008723797680619971,0.0031858554959119634,True
birmingham,y_t+60min,D-dispersion,ACQR vs CQR,28,0.020459056702774155,0.032605200265558486,-0.01214614356278433,-0.0224554784396903,-0.0028438031300451177,0.0092,67.85714285714286,0.01190981255010114,0.015841331408863724,True
birmingham,y_t+60min,D-dispersion,ACQR vs split-CP,28,0.020459056702774155,0.03844160842950902,-0.017982551726734873,-0.03067281184198698,-0.006204542578590897,0.002,75.0,0.007920665704431862,0.015841331408863724,True
birmingham,y_t+60min,E-efficiency,ACI vs split-CP,28,175.30883185937427,175.36078089923163,-0.051949039857401146,-4.549959339133687,4.119718657950899,0.9954,32.142857142857146,0.4247525781393051,1.0,False
birmingham,y_t+60min,E-efficiency,ACI vs CQR,28,175.30883185937427,172.66008590461453,2.6487459547596903,-3.2866835639153136,8.462721386809463,0.3866,42.857142857142854,0.43800119310617447,1.0,False
birmingham,y_t+60min,E-efficiency,ACQR vs CQR,28,176.2771307337063,172.66008590461453,3.6170448290917214,-0.840586366181521,8.333888144039364,0.1156,35.714285714285715,0.08565542846918106,0.34262171387672424,False
birmingham,y_t+60min,E-efficiency,ACQR vs split-CP,28,176.2771307337063,175.36078089923163,0.9163498344746291,-6.252403993238633,8.418344580280165,0.8082,39.285714285714285,0.813923291862011,1.0,False
