facility_id,dynamic,horizon,level,method,PICP,MPIW,Winkler,n_test,n_cal,picp_ci_lo,picp_ci_hi,n_crossings_cal,n_crossings_test
1,True,y_t+30min,0.8,split-CP,0.7111111111111111,24.891410714285712,48.12529168002779,135,150,,,,
1,True,y_t+30min,0.8,ACI,0.7851851851851852,31.669329290257075,47.35985650686763,135,150,,,,
1,True,y_t+30min,0.85,split-CP,0.8518518518518519,35.14355952380947,51.60427077209486,135,150,,,,
1,True,y_t+30min,0.85,ACI,0.837037037037037,38.57481532253754,53.054084513566,135,150,,,,
1,True,y_t+30min,0.9,split-CP,0.9111111111111112,42.628595238095215,59.05702601410936,135,150,0.8636363636363636,0.946969696969697,,
1,True,y_t+30min,0.9,ACI,0.8888888888888888,44.9008647159425,62.705866920528045,135,150,0.8409090909090909,0.9242424242424242,,
1,True,y_t+30min,0.95,split-CP,0.9703703703703704,59.772369047619,73.91804629629625,135,150,,,,
1,True,y_t+30min,0.95,ACI,0.9407407407407408,56.212264157447486,76.96282118272673,135,150,,,,
1,True,y_t+30min,0.9,CQR,0.8888888888888888,43.113620947251086,62.67502205618633,135,150,0.8409090909090909,0.9242424242424242,0.0,0.0
1,True,y_t+30min,0.9,ACQR,0.8962962962962963,52.28577242717712,67.01792013913153,135,150,0.8484848484848485,0.9318181818181818,0.0,0.0
1,True,y_t+30min,0.95,CQR,0.9407407407407408,51.29422617700466,70.0823166300049,135,150,,,0.0,0.0
1,True,y_t+30min,0.95,ACQR,0.9407407407407408,59.581501810067465,77.7258921265892,135,150,,,0.0,0.0
1,True,y_t+60min,0.8,split-CP,0.7185185185185186,45.98005952380958,83.60517233178341,135,150,,,,
1,True,y_t+60min,0.8,ACI,0.7777777777777778,53.109885871946986,88.08090241301906,135,150,,,,
1,True,y_t+60min,0.85,split-CP,0.837037037037037,58.06776190476194,90.4608473001621,135,150,,,,
1,True,y_t+60min,0.85,ACI,0.8296296296296296,71.48114850355407,100.92860127643276,135,150,,,,
1,True,y_t+60min,0.9,split-CP,0.9037037037037036,78.06559523809526,104.29341754850088,135,150,0.8409090909090909,0.9545454545454546,,
1,True,y_t+60min,0.9,ACI,0.8814814814814815,85.69380485276042,109.67831381807494,135,150,0.8181818181818182,0.9242424242424242,,
1,True,y_t+60min,0.95,split-CP,0.9481481481481482,98.32840476190472,124.48759318048208,135,150,,,,
1,True,y_t+60min,0.95,ACI,0.925925925925926,95.47980421543475,133.69907712976325,135,150,,,,
1,True,y_t+60min,0.9,CQR,0.9111111111111112,82.98189147711902,104.24834726848626,135,150,0.8636363636363636,0.946969696969697,0.0,0.0
1,True,y_t+60min,0.9,ACQR,0.8814814814814815,92.36895844100248,117.11475498088116,135,150,0.8181818181818182,0.9318181818181818,0.0,0.0
1,True,y_t+60min,0.95,CQR,0.9555555555555556,99.9510502484178,119.43057079089073,135,150,,,0.0,0.0
1,True,y_t+60min,0.95,ACQR,0.9407407407407408,107.7185060373682,122.03689883096514,135,150,,,0.0,0.0
1,True,y_t+90min,0.8,split-CP,0.7333333333333333,60.85658333333332,127.06596516754853,135,150,,,,
1,True,y_t+90min,0.8,ACI,0.7777777777777778,74.19414421062476,133.39505536582757,135,150,,,,
1,True,y_t+90min,0.85,split-CP,0.8074074074074075,76.82505357142857,140.71557561728395,135,150,,,,
1,True,y_t+90min,0.85,ACI,0.8296296296296296,89.06458004516061,148.82233322065449,135,150,,,,
1,True,y_t+90min,0.9,split-CP,0.8740740740740741,103.6161547619048,158.32864432686657,135,150,0.7954545454545454,0.9393939393939394,,
1,True,y_t+90min,0.9,ACI,0.8814814814814815,122.80538533616588,186.9637781933088,135,150,0.803030303030303,0.946969696969697,,
1,True,y_t+90min,0.95,split-CP,0.9703703703703704,164.43590476190482,186.6262322163433,135,150,,,,
1,True,y_t+90min,0.95,ACI,0.925925925925926,139.77871258217087,234.42490952514555,135,150,,,,
1,True,y_t+90min,0.9,CQR,0.8444444444444444,97.70260086415604,142.38869669472234,135,150,0.7651515151515151,0.9015151515151516,0.0,0.0
1,True,y_t+90min,0.9,ACQR,0.8814814814814815,114.0097344337928,154.4430221468936,135,150,0.803030303030303,0.9393939393939394,0.0,0.0
1,True,y_t+90min,0.95,CQR,0.9629629629629628,144.1317256809116,162.0908076812315,135,150,,,0.0,0.0
1,True,y_t+90min,0.95,ACQR,0.9185185185185184,143.1954240843139,194.49938919707805,135,150,,,0.0,0.0
2,True,y_t+30min,0.8,split-CP,0.7241379310344828,20.43404761904762,49.58724232006019,116,150,,,,
2,True,y_t+30min,0.8,ACI,0.7672413793103449,29.56703846811713,48.248948019293934,116,150,,,,
2,True,y_t+30min,0.85,split-CP,0.8362068965517241,30.254678571428595,54.681825305601166,116,150,,,,
2,True,y_t+30min,0.85,ACI,0.8275862068965517,33.194618014767805,51.98010663454521,116,150,,,,
2,True,y_t+30min,0.9,split-CP,0.8706896551724138,37.783702380952384,63.11786870552821,116,150,0.7894736842105263,0.9473684210526316,,
2,True,y_t+30min,0.9,ACI,0.8706896551724138,44.49041362600524,57.812277402793576,116,150,0.8070175438596491,0.9385964912280702,,
2,True,y_t+30min,0.95,split-CP,0.956896551724138,55.01770833333336,84.2611401888341,116,150,,,,
2,True,y_t+30min,0.95,ACI,0.9310344827586208,54.9157866326681,76.12288980727122,116,150,,,,
2,True,y_t+30min,0.9,CQR,0.9224137931034484,38.12200796867617,46.14240012694225,116,150,0.8771929824561403,0.9649122807017544,0.0,0.0
