facility_id,dynamic,horizon,level,method,PICP,MPIW,Winkler
1,False,y_t+5min,0.9,split-CP,1.0,0.0,0.0
1,False,y_t+5min,0.9,ACI,1.0,0.0,0.0
1,False,y_t+5min,0.95,split-CP,1.0,0.0,0.0
1,False,y_t+5min,0.95,ACI,1.0,0.0,0.0
1,False,y_t+15min,0.9,split-CP,1.0,0.0,0.0
1,False,y_t+15min,0.9,ACI,1.0,0.0,0.0
1,False,y_t+15min,0.95,split-CP,1.0,0.0,0.0
1,False,y_t+15min,0.95,ACI,1.0,0.0,0.0
1,False,y_t+30min,0.9,split-CP,1.0,0.0,0.0
1,False,y_t+30min,0.9,ACI,1.0,0.0,0.0
1,False,y_t+30min,0.95,split-CP,1.0,0.0,0.0
1,False,y_t+30min,0.95,ACI,1.0,0.0,0.0
2,True,y_t+5min,0.9,split-CP,0.9587426326129664,23.99621825396832,26.50000729982022
2,True,y_t+5min,0.9,ACI,0.899803536345776,14.669321376596912,19.69850191455202
2,True,y_t+5min,0.95,split-CP,0.9931237721021612,34.07542063492065,34.91288053658487
2,True,y_t+5min,0.95,ACI,0.949901768172888,19.317149203821355,24.65283173310904
2,True,y_t+15min,0.9,split-CP,0.9577603143418468,38.656067460317495,42.390307797310776
2,True,y_t+15min,0.9,ACI,0.899803536345776,23.5224963698166,30.98251688793633
2,True,y_t+15min,0.95,split-CP,0.9941060903732808,55.12562301587332,55.60851472178071
2,True,y_t+15min,0.95,ACI,0.949901768172888,30.167458844337283,38.9316171785447
2,True,y_t+30min,0.9,split-CP,0.949901768172888,57.468730158730175,64.67808590905757
2,True,y_t+30min,0.9,ACI,0.900785854616896,33.36217817092125,45.46258706678606
2,True,y_t+30min,0.95,split-CP,0.9852652259332024,75.15158465608475,78.70188878493994
2,True,y_t+30min,0.95,ACI,0.950884086444008,43.30352665369664,54.98125568724413
3,True,y_t+5min,0.9,split-CP,0.8330058939096268,14.04013888888889,24.03201659687906
3,True,y_t+5min,0.9,ACI,0.900785854616896,15.230179528232076,20.028039850984364
3,True,y_t+5min,0.95,split-CP,0.93713163064833,19.68431096681098,26.93703376264281
3,True,y_t+5min,0.95,ACI,0.950884086444008,20.303754132564297,24.69760001254477
3,True,y_t+15min,0.9,split-CP,0.8673870333988212,22.437724867724903,39.30331455045356
3,True,y_t+15min,0.9,ACI,0.8988212180746562,23.837027416791187,31.002980447424967
3,True,y_t+15min,0.95,split-CP,0.9322200392927308,30.031158730158744,49.23565586258315
3,True,y_t+15min,0.95,ACI,0.949901768172888,31.13122986153046,38.30579607044344
3,True,y_t+30min,0.9,split-CP,0.8585461689587426,31.931674603174542,58.157265647525534
3,True,y_t+30min,0.9,ACI,0.899803536345776,32.0125042158263,42.80190331876118
3,True,y_t+30min,0.95,split-CP,0.9292730844793712,41.77179365079364,74.38674623704534
3,True,y_t+30min,0.95,ACI,0.949901768172888,40.14681598930319,52.14192107577192
4,True,y_t+5min,0.9,split-CP,0.906679764243615,20.694480158729903,28.725200210071524
4,True,y_t+5min,0.9,ACI,0.8988212180746562,19.88763797106626,27.6575290761956
4,True,y_t+5min,0.95,split-CP,0.9548133595284872,25.485484126984204,34.98178504901196
4,True,y_t+5min,0.95,ACI,0.948919449901768,28.98184446190316,36.576153697017865
4,True,y_t+15min,0.9,split-CP,0.9273084479371316,37.64436507936489,47.80454417644489
4,True,y_t+15min,0.9,ACI,0.8988212180746562,32.303575245272455,43.79942548804067
4,True,y_t+15min,0.95,split-CP,0.948919449901768,43.63554100529103,56.67697664052818
4,True,y_t+15min,0.95,ACI,0.949901768172888,41.64341633391166,51.52706487375863
