policy,seed,n_requests,n_assigned,assigned_rate,overflow_rate,unserved_or_overflow_rate,mean_straight_line_km,p90_straight_line_km,window,n_base,n_slots,excluded,margin_m,anchor,distinct_min,distinct_next
MARGIN,13,600,600,1.0,0.0,0.0,1.116220559068602,3.0955708906011483,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,14,600,600,1.0,0.0,0.0,1.1979609944550467,3.477889517576892,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,14,600,600,1.0,0.0,0.0,1.1979609944550467,3.477889517576892,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,14,600,600,1.0,0.0,0.0,1.1979609944550467,3.477889517576892,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,15,600,600,1.0,0.0,0.0,1.0777113913192649,3.1245803546186997,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,15,600,600,1.0,0.0,0.0,1.0777113913192649,3.1245803546186997,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,15,600,600,1.0,0.0,0.0,1.0777113913192649,3.1245803546186997,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,16,600,600,1.0,0.0,0.0,1.2236398763867846,3.3910934696278363,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,16,600,600,1.0,0.0,0.0,1.2236398763867846,3.3910934696278363,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,16,600,600,1.0,0.0,0.0,1.2236398763867846,3.3910934696278363,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,17,600,600,1.0,0.0,0.0,1.1262209709590247,3.321286373510759,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,17,600,600,1.0,0.0,0.0,1.1262209709590247,3.321286373510759,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,17,600,600,1.0,0.0,0.0,1.1262209709590247,3.321286373510759,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,18,600,600,1.0,0.0,0.0,1.121820429422716,3.2735022341306528,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,18,600,600,1.0,0.0,0.0,1.121820429422716,3.2735022341306528,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,18,600,600,1.0,0.0,0.0,1.121820429422716,3.2735022341306528,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,19,600,600,1.0,0.0,0.0,1.1975683425961916,3.459833508607637,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
