facility_id,dynamic,base,level,method,PICP,MPIW,Winkler,MAE,gamma,gamma_calB_picp,n_cal_b,degenerate,cal_score_max,n_test,n_cal
1,False,RandomForest,0.9,split-CP,1.0,0.0,0.0,0.0,,,,True,0.0,1015,760
1,False,RandomForest,0.9,ACI,1.0,0.0,0.0,0.0,0.002,1.0,380.0,True,0.0,1015,760
1,False,RandomForest,0.95,split-CP,1.0,0.0,0.0,0.0,,,,True,0.0,1015,760
1,False,RandomForest,0.95,ACI,1.0,0.0,0.0,0.0,0.002,1.0,380.0,True,0.0,1015,760
1,False,GradBoost,0.9,split-CP,1.0,0.0,0.0,0.0,,,,True,0.0,1015,760
1,False,GradBoost,0.9,ACI,1.0,0.0,0.0,0.0,0.002,1.0,380.0,True,0.0,1015,760
1,False,GradBoost,0.95,split-CP,1.0,0.0,0.0,0.0,,,,True,0.0,1015,760
1,False,GradBoost,0.95,ACI,1.0,0.0,0.0,0.0,0.002,1.0,380.0,True,0.0,1015,760
1,False,Ridge(linear),0.9,split-CP,1.0,0.0,0.0,0.0,,,,True,0.0,1015,760
1,False,Ridge(linear),0.9,ACI,1.0,0.0,0.0,0.0,0.002,1.0,380.0,True,0.0,1015,760
1,False,Ridge(linear),0.95,split-CP,1.0,0.0,0.0,0.0,,,,True,0.0,1015,760
1,False,Ridge(linear),0.95,ACI,1.0,0.0,0.0,0.0,0.002,1.0,380.0,True,0.0,1015,760
2,True,RandomForest,0.9,split-CP,0.9349753694581281,22.070281746031696,26.596532078348563,3.453946651774608,,,,False,28.087940295815315,1015,760
2,True,RandomForest,0.9,ACI,0.8847290640394089,17.666486975668015,26.361809674862624,3.453946651774608,0.002,0.9026315789473685,380.0,False,28.087940295815315,1015,760
2,True,RandomForest,0.95,split-CP,0.967487684729064,27.3464166666667,31.490574562775308,3.453946651774608,,,,False,28.087940295815315,1015,760
2,True,RandomForest,0.95,ACI,0.9477832512315271,22.474362761440347,30.91197978317066,3.453946651774608,0.02,0.95,380.0,False,28.087940295815315,1015,760
2,True,GradBoost,0.9,split-CP,0.9467980295566503,24.057341050704846,28.301474254526028,3.743757348363254,,,,False,28.163070606640247,1015,760
2,True,GradBoost,0.9,ACI,0.8857142857142857,17.909222192885803,27.921864150990473,3.743757348363254,0.002,0.9026315789473685,380.0,False,28.163070606640247,1015,760
2,True,GradBoost,0.95,split-CP,0.9802955665024631,31.662827943031402,35.205901356591376,3.743757348363254,,,,False,28.163070606640247,1015,760
2,True,GradBoost,0.95,ACI,0.9448275862068966,23.744256668766564,34.66251068653456,3.743757348363254,0.002,0.9526315789473684,380.0,False,28.163070606640247,1015,760
2,True,Ridge(linear),0.9,split-CP,0.948768472906404,25.135167127587064,28.912883602750785,3.817572592607019,,,,False,33.17755584464601,1015,760
2,True,Ridge(linear),0.9,ACI,0.8876847290640394,18.63296344811503,28.683942812412454,3.817572592607019,0.002,0.9026315789473685,380.0,False,33.17755584464601,1015,760
2,True,Ridge(linear),0.95,split-CP,0.9733990147783251,31.302542359216773,34.278847651558614,3.817572592607019,,,,False,33.17755584464601,1015,760
2,True,Ridge(linear),0.95,ACI,0.9467980295566503,24.510421170040757,32.53788610382823,3.817572592607019,0.02,0.95,380.0,False,33.17755584464601,1015,760
3,True,RandomForest,0.9,split-CP,0.9004926108374385,16.435103194242355,27.415201607414662,3.4421103201715266,,,,False,22.46863492063492,1015,760
3,True,RandomForest,0.9,ACI,0.8916256157635468,16.656566528440543,26.581122878950097,3.4421103201715266,0.02,0.9,380.0,False,22.46863492063492,1015,760
3,True,RandomForest,0.95,split-CP,0.9389162561576355,21.802280487880118,34.56795815121294,3.4421103201715266,,,,False,22.46863492063492,1015,760
3,True,RandomForest,0.95,ACI,0.9477832512315271,26.376634600138054,35.26085891459389,3.4421103201715266,0.005,0.95,380.0,False,22.46863492063492,1015,760
3,True,GradBoost,0.9,split-CP,0.8995073891625616,16.968573449284175,27.969592231374158,3.6987227604246127,,,,False,22.45907062877579,1015,760
3,True,GradBoost,0.9,ACI,0.8945812807881773,17.006670351226397,27.189657260249938,3.6987227604246127,0.02,0.9,380.0,False,22.45907062877579,1015,760
3,True,GradBoost,0.95,split-CP,0.9339901477832512,21.675140556437448,35.3071719941563,3.6987227604246127,,,,False,22.45907062877579,1015,760
3,True,GradBoost,0.95,ACI,0.9458128078817734,24.087365095580832,34.12213732288602,3.6987227604246127,0.01,0.9526315789473684,380.0,False,22.45907062877579,1015,760
3,True,Ridge(linear),0.9,split-CP,0.8738916256157635,16.079367341493082,28.40200703623441,3.864690318616883,,,,False,21.044428056284467,1015,760
3,True,Ridge(linear),0.9,ACI,0.8935960591133005,18.346348599958297,28.46017414222392,3.864690318616883,0.002,0.8973684210526316,380.0,False,21.044428056284467,1015,760
3,True,Ridge(linear),0.95,split-CP,0.929064039408867,21.656946697132604,34.78772580565986,3.864690318616883,,,,False,21.044428056284467,1015,760
3,True,Ridge(linear),0.95,ACI,0.9497536945812808,26.534626918422287,35.02792506750957,3.864690318616883,0.002,0.9473684210526315,380.0,False,21.044428056284467,1015,760
4,True,RandomForest,0.9,split-CP,0.9586206896551724,27.189447179275753,33.83328625973553,4.242822640135818,,,,False,45.60462896825397,1015,760
4,True,RandomForest,0.9,ACI,0.896551724137931,19.629275536564325,32.70979830826445,4.242822640135818,0.02,0.9,380.0,False,45.60462896825397,1015,760
