facility_id,n_test,method,quantity,armA_njobs_all,armB_njobs_all_repeat,armC_njobs_1,abs_AB,abs_AC,rel_AB,rel_AC,gamma_aci_A,gamma_acqr_A,gamma_stable
2,1015,split-CP,PICP,0.934975369458128,0.934975369458128,0.934975369458128,0.0,0.0,0.0,0.0,0.002,0.005,True
2,1015,split-CP,MPIW,22.070281746031696,22.070281746031696,22.070281746031696,0.0,0.0,0.0,0.0,0.002,0.005,True
2,1015,split-CP,Winkler,26.596532078348563,26.596532078348563,26.596532078348563,0.0,0.0,0.0,0.0,0.002,0.005,True
2,1015,ACI,PICP,0.8847290640394089,0.8847290640394089,0.8847290640394089,0.0,0.0,0.0,0.0,0.002,0.005,True
2,1015,ACI,MPIW,17.666486975668015,17.666486975668015,17.666486975668015,0.0,0.0,0.0,0.0,0.002,0.005,True
2,1015,ACI,Winkler,26.361809674862624,26.361809674862624,26.361809674862624,0.0,0.0,0.0,0.0,0.002,0.005,True
2,1015,CQR,PICP,0.9103448275862068,0.9103448275862068,0.9103448275862068,0.0,0.0,0.0,0.0,0.002,0.005,True
2,1015,CQR,MPIW,16.045712541627385,16.045712541627385,16.045712541627385,0.0,0.0,0.0,0.0,0.002,0.005,True
2,1015,CQR,Winkler,21.64316392978546,21.64316392978546,21.64316392978546,0.0,0.0,0.0,0.0,0.002,0.005,True
2,1015,ACQR,PICP,0.8926108374384236,0.8926108374384236,0.8926108374384236,0.0,0.0,0.0,0.0,0.002,0.005,True
2,1015,ACQR,MPIW,15.11215530660628,15.11215530660628,15.11215530660628,0.0,0.0,0.0,0.0,0.002,0.005,True
2,1015,ACQR,Winkler,21.69515078918489,21.69515078918489,21.69515078918489,0.0,0.0,0.0,0.0,0.002,0.005,True
3,1015,split-CP,PICP,0.9004926108374385,0.9004926108374385,0.9004926108374385,0.0,0.0,0.0,0.0,0.02,0.02,True
3,1015,split-CP,MPIW,16.435103194242355,16.435103194242355,16.435103194242355,0.0,0.0,0.0,0.0,0.02,0.02,True
3,1015,split-CP,Winkler,27.415201607414662,27.415201607414662,27.415201607414662,0.0,0.0,0.0,0.0,0.02,0.02,True
3,1015,ACI,PICP,0.8916256157635468,0.8916256157635468,0.8916256157635468,0.0,0.0,0.0,0.0,0.02,0.02,True
3,1015,ACI,MPIW,16.65656652844054,16.65656652844054,16.656566528440543,0.0,3.552713678800501e-15,0.0,2.1329207749594487e-16,0.02,0.02,True
3,1015,ACI,Winkler,26.581122878950097,26.581122878950097,26.581122878950097,0.0,0.0,0.0,0.0,0.02,0.02,True
3,1015,CQR,PICP,0.8817733990147784,0.8817733990147784,0.8817733990147784,0.0,0.0,0.0,0.0,0.02,0.02,True
3,1015,CQR,MPIW,13.494300006783837,13.494300006783837,13.494300006783837,0.0,0.0,0.0,0.0,0.02,0.02,True
3,1015,CQR,Winkler,25.349882616313288,25.349882616313288,25.349882616313288,0.0,0.0,0.0,0.0,0.02,0.02,True
3,1015,ACQR,PICP,0.8985221674876848,0.8985221674876848,0.8985221674876848,0.0,0.0,0.0,0.0,0.02,0.02,True
3,1015,ACQR,MPIW,15.593075678827482,15.593075678827482,15.593075678827482,0.0,0.0,0.0,0.0,0.02,0.02,True
3,1015,ACQR,Winkler,24.62947471489451,24.62947471489451,24.62947471489451,0.0,0.0,0.0,0.0,0.02,0.02,True
4,1015,split-CP,PICP,0.9586206896551724,0.9586206896551724,0.9586206896551724,0.0,0.0,0.0,0.0,0.02,0.002,True
4,1015,split-CP,MPIW,27.189447179275753,27.189447179275753,27.189447179275753,0.0,0.0,0.0,0.0,0.02,0.002,True
4,1015,split-CP,Winkler,33.83328625973553,33.83328625973553,33.83328625973553,0.0,0.0,0.0,0.0,0.02,0.002,True
4,1015,ACI,PICP,0.896551724137931,0.896551724137931,0.896551724137931,0.0,0.0,0.0,0.0,0.02,0.002,True
4,1015,ACI,MPIW,19.62927553656433,19.62927553656433,19.62927553656433,0.0,0.0,0.0,0.0,0.02,0.002,True
4,1015,ACI,Winkler,32.709798308264446,32.70979830826445,32.70979830826445,7.105427357601002e-15,7.105427357601002e-15,2.1722626628993146e-16,2.1722626628993146e-16,0.02,0.002,True
4,1015,CQR,PICP,0.9270935960591133,0.9270935960591133,0.9270935960591133,0.0,0.0,0.0,0.0,0.02,0.002,True
4,1015,CQR,MPIW,19.0514673363069,19.0514673363069,19.0514673363069,0.0,0.0,0.0,0.0,0.02,0.002,True
4,1015,CQR,Winkler,28.238075380608375,28.238075380608375,28.238075380608375,0.0,0.0,0.0,0.0,0.02,0.002,True
4,1015,ACQR,PICP,0.9004926108374385,0.9004926108374385,0.9004926108374385,0.0,0.0,0.0,0.0,0.02,0.002,True
4,1015,ACQR,MPIW,16.76280075142538,16.76280075142538,16.76280075142538,0.0,0.0,0.0,0.0,0.02,0.002,True
4,1015,ACQR,Winkler,28.351302273817936,28.351302273817936,28.351302273817936,0.0,0.0,0.0,0.0,0.02,0.002,True
