window,theta,n_base,n_slots,n_facility_slots,event_slots,event_rate,facilities_with_event,point_withdraw_rate,interval_withdraw_rate,interval_only_withdrawn_slots,point_only_withdrawn_slots,margin_m,excluded
weekday,0.85,20,167,3340,240,0.0718562874251497,5,0.07425149700598803,0.09820359281437126,80,0,9.777785844442262,8
weekday,0.9,20,167,3340,183,0.054790419161676644,3,0.05419161676646707,0.0688622754491018,49,0,9.777785844442262,8
weekday,0.925,20,167,3340,175,0.05239520958083832,3,0.04880239520958084,0.05688622754491018,27,0,9.777785844442262,8
weekday,0.95,20,167,3340,121,0.03622754491017964,1,0.03652694610778443,0.043712574850299404,24,0,9.777785844442262,8
weekend,0.85,20,147,2940,985,0.33503401360544216,14,0.33435374149659863,0.4020408163265306,199,0,9.014929705118522,8
weekend,0.9,20,147,2940,610,0.20748299319727892,12,0.20884353741496597,0.2925170068027211,246,0,9.014929705118522,8
weekend,0.925,20,147,2940,413,0.14047619047619048,8,0.13843537414965987,0.2064625850340136,200,0,9.014929705118522,8
weekend,0.95,20,147,2940,304,0.10340136054421768,6,0.09727891156462586,0.14217687074829932,132,0,9.014929705118522,8
