arm,fold,partition,cramers_v,method,n_facilities,n_cells,mean_PICP,sd_PICP,min_PICP,cells_below_080,noise_floor_sd,excess_sd,structure_removed,MPIW
B_bham_coarse,main,time_of_day,,ACI,28,28,0.889,0.0152,0.8659,0,0.0585,0.0,,131.55
B_bham_coarse,main,time_of_day,,ToD-ACI,28,28,0.889,0.0152,0.8659,0,0.0585,0.0,,131.55
C_bham_hour,main,occupancy_tercile,0.278,split-CP,28,48,0.9116,0.0704,0.7222,4,0.0729,0.0,,122.27
C_bham_hour,main,occupancy_tercile,0.278,Mondrian-split-CP,28,48,0.9142,0.0703,0.7222,4,0.0714,0.0,,123.31
C_bham_hour,main,occupancy_tercile,0.278,ACI,28,48,0.8915,0.0645,0.7222,7,0.0565,0.0311,,119.79
C_bham_hour,main,occupancy_tercile,0.278,ToD-ACI,28,48,0.8941,0.0943,0.5556,6,0.0506,0.0796,,122.07
C_bham_hour,main,hour_of_day,1.0,split-CP,21,82,0.9008,0.0734,0.7333,9,0.0729,0.0084,0.0,157.18
C_bham_hour,main,hour_of_day,1.0,Mondrian-split-CP,21,82,0.9045,0.069,0.7333,7,0.0714,0.0,1.0,158.87
C_bham_hour,main,hour_of_day,1.0,ACI,21,82,0.8963,0.065,0.7667,3,0.0565,0.0321,-13.553,159.22
C_bham_hour,main,hour_of_day,1.0,ToD-ACI,21,82,0.8939,0.0486,0.8,0,0.0506,0.0,1.0,160.15
