city,horizon,method,n_fac,sd_PICP,worst_facility,worst_PICP,frac_unsafe,frac_below_nominal,median_CI_halfwidth,max_CI_halfwidth,RETIRED_ci_contains_nominal,equivalence_claimed
belgrade,y_t+15min,split-CP,21,0.0411350205498103,9,0.787192118226601,0.5714285714285714,0.38095238095238093,0.03621031746031744,0.07837301587301587,0.6190476190476191,False
belgrade,y_t+15min,CQR,21,0.02890156841243904,9,0.8266009852216749,0.6190476190476191,0.42857142857142855,0.03125,0.06299603174603174,0.7619047619047619,False
belgrade,y_t+15min,ACI,21,0.007729289717032862,13,0.8689655172413793,1.0,0.9523809523809523,0.03720238095238093,0.049107142857142905,0.9523809523809523,False
belgrade,y_t+15min,ACQR,21,0.00530165926116904,13,0.8788177339901477,1.0,0.9523809523809523,0.02777777777777768,0.03720238095238093,0.9523809523809523,False
birmingham,y_t+60min,split-CP,28,0.051329996669428835,7,0.7867647058823529,0.75,0.4642857142857143,0.05303030303030301,0.0871212121212121,0.7142857142857143,False
birmingham,y_t+60min,CQR,28,0.04169890673411505,7,0.7794117647058824,0.75,0.39285714285714285,0.049242424242424254,0.08333333333333331,0.75,False
birmingham,y_t+60min,ACI,28,0.015472401265376575,20,0.8658536585365854,0.9642857142857143,0.8571428571428571,0.0585016835016835,0.07936507936507936,1.0,False
birmingham,y_t+60min,ACQR,28,0.02344964048871338,22,0.8536585365853658,0.8928571428571429,0.7857142857142857,0.05681818181818182,0.10256410256410259,0.8928571428571429,False
