facility_id,horizon,level,method,PICP,MPIW,Winkler,picp_lo,picp_hi
1,y_t+60min,0.9,EnbPI,0.8523489932885906,63.95484798643999,111.22926017304,0.7857142857142857,0.95
1,y_t+60min,0.9,AgACI-style,0.8859060402684564,82.43062733732002,120.06688769254671,0.8214285714285714,0.95
1,y_t+60min,0.9,NGBoost,0.3758389261744966,19.714932377773057,205.45560911702304,0.3,0.45
2,y_t+60min,0.9,EnbPI,0.8046875,42.856972528152696,81.19847577115385,0.7166666666666667,0.9083333333333332
2,y_t+60min,0.9,AgACI-style,0.90625,63.76323882153567,93.07260307586466,0.8583333333333333,0.9666666666666668
2,y_t+60min,0.9,NGBoost,0.359375,13.285655235949566,220.9037537167399,0.25,0.5416666666666666
3,y_t+60min,0.9,EnbPI,0.8071428571428572,78.41097673148221,187.60334501617243,0.6642857142857143,0.9071428571428573
3,y_t+60min,0.9,AgACI-style,0.9357142857142856,146.20991689826147,171.67696783555033,0.8642857142857143,0.9785714285714284
3,y_t+60min,0.9,NGBoost,0.1785714285714285,18.236086313802947,399.2008639008205,0.1282142857142857,0.2214285714285714
4,y_t+60min,0.9,EnbPI,0.8590604026845637,47.14808554388736,68.64336240597387,0.7928571428571428,0.9142857142857144
4,y_t+60min,0.9,AgACI-style,0.8993288590604027,62.75071509856168,75.34614109379127,0.8571428571428571,0.9357142857142856
4,y_t+60min,0.9,NGBoost,0.0402684563758389,10.968423875000116,355.87529511237307,0.0142857142857142,0.0571428571428571
5,y_t+60min,0.9,EnbPI,0.88,158.34190619466614,245.37062723329157,0.85,0.9071428571428573
5,y_t+60min,0.9,AgACI-style,0.9333333333333332,197.76334610611133,254.9033780876323,0.9,0.9571428571428572
5,y_t+60min,0.9,NGBoost,0.2666666666666666,31.280775989993327,543.9146663715617,0.2071428571428571,0.3285714285714285
6,y_t+60min,0.9,EnbPI,0.7466666666666667,149.28819779833032,375.8362571716771,0.6285714285714286,0.8857142857142857
6,y_t+60min,0.9,AgACI-style,0.9266666666666666,255.57675295009463,308.44500612402896,0.8714285714285714,0.9785714285714284
6,y_t+60min,0.9,NGBoost,0.2866666666666667,37.79544930239157,836.796384327159,0.1928571428571428,0.4146428571428568
7,y_t+60min,0.9,EnbPI,0.8066666666666666,68.04657109544857,120.62823958453782,0.7428571428571429,0.9142857142857144
7,y_t+60min,0.9,AgACI-style,0.88,83.7709383854892,110.11370643410466,0.8357142857142857,0.9428571428571428
7,y_t+60min,0.9,NGBoost,0.3,19.126280415280597,280.90168490840955,0.2214285714285714,0.3860714285714283
9,y_t+60min,0.9,EnbPI,0.906040268456376,38.688548823548985,53.16419467442408,0.85,0.9714285714285714
9,y_t+60min,0.9,AgACI-style,0.9261744966442952,39.57233903272754,54.04363650700312,0.8714285714285714,0.9646428571428568
9,y_t+60min,0.9,NGBoost,0.5973154362416108,17.69924899527372,83.36921186970423,0.5067857142857143,0.7071428571428572
10,y_t+60min,0.9,EnbPI,0.953020134228188,21.43830073908578,27.553752887333587,0.9142857142857144,0.9714285714285714
10,y_t+60min,0.9,AgACI-style,0.9463087248322148,21.245434663402623,27.03721931746078,0.9071428571428573,0.9642857142857144
10,y_t+60min,0.9,NGBoost,0.5838926174496645,8.613309754580586,35.07742874243379,0.4928571428571429,0.6357142857142857
11,y_t+60min,0.9,EnbPI,0.8523489932885906,89.9062542731106,142.8620577165096,0.7714285714285715,0.9214285714285714
11,y_t+60min,0.9,AgACI-style,0.8993288590604027,116.63757889288804,147.7009872915095,0.8285714285714286,0.95
11,y_t+60min,0.9,NGBoost,0.4832214765100671,34.27720417458812,229.6990483214188,0.4357142857142857,0.55
12,y_t+60min,0.9,EnbPI,0.738255033557047,68.93286607004202,201.4602588286645,0.5928571428571429,0.8642857142857143
12,y_t+60min,0.9,AgACI-style,0.906040268456376,128.6534403431969,165.57837993260793,0.8285714285714286,0.9642857142857144
12,y_t+60min,0.9,NGBoost,0.2550335570469799,20.56097612133868,427.5280003217172,0.1857142857142857,0.3357142857142857
13,y_t+60min,0.9,EnbPI,0.7338709677419355,48.99677179783138,104.03826887154932,0.5833333333333334,0.7916666666666666
13,y_t+60min,0.9,AgACI-style,0.9596774193548387,94.7853318344462,97.91333073735784,0.925,0.9833333333333332
