facility_id,lon,lat,mean_abs_resid,mean_aci_halfwidth,mean_occ
2,20.46287306,44.8071741,3.4446672692166316,8.198344840844596,326.5106417812705
3,20.45719605,44.81293024,3.4290068995028475,8.596423428786888,139.87737393582188
4,20.46271401,44.81107658,4.21887671439108,10.058090431752268,239.77635887360836
5,20.43109715,44.8082843,3.2779914668392074,8.9309281759407,259.8117223313687
6,20.44369344,44.79788392,2.096189905711148,5.261314618374786,49.66011787819254
7,20.28775521,44.81697886,12.515609130764094,30.393600442988213,369.68172888015715
8,20.47910674,44.80512553,10.861376894470952,14.788400091994886,60.281925343811395
9,20.41425955,44.7865765,2.0959389743633388,4.9382793722731115,1522.6814014407332
11,20.46724308,44.80263598,1.4121809089322597,3.633855750639886,39.124918140144075
12,20.45507856,44.82966204,3.4759370506067464,7.421796078757521,252.9232154551408
13,20.45390829,44.77181311,3.845208575369184,9.269765558511013,487.19286182056317
14,20.42000655,44.82823764,5.272379360189035,11.599352889865537,260.95956123117224
15,20.45244297,44.82468399,2.4289164694270298,5.7671333471474675,74.39702030124427
16,20.46466533,44.81565952,1.4910190867534925,3.2814071158185842,26.85641781270465
17,20.4146479,44.84699675,1.995696496256418,4.4421638637048755,36.41601178781925
18,20.50399204,44.79300386,1.6162915282845294,3.9616751730042497,66.00884086444007
19,20.47506703,44.8010128,2.3776576454861083,5.785097018871945,45.87278978388998
20,20.41574833,44.78249868,1.5092248239327073,3.6448901537458758,48.521938441388336
21,20.45479254,44.81119318,1.9485398055657142,4.59165403248974,48.5171905697446
22,20.35994821,44.82555055,2.8039152047199685,6.025240048948178,161.06434184675834
23,20.47099208,44.81596672,1.4328897213851781,3.574402501735876,141.2850360183366
