dataset,facility_id,method,in_published_base,PICP_before,PICP_after,dPICP,MPIW_before,MPIW_after,Winkler_before,Winkler_after,rel_dWinkler
belgrade,1,NGBoost,False,,,,,,,,
belgrade,1,NGBoost-conformal,False,,,,,,,,
belgrade,2,NGBoost,True,0.7753694581280788,0.7753694581280788,0.0,9.500643940975742,9.497385971552172,26.46253060938964,26.39865188325048,0.0024139311195163064
belgrade,2,NGBoost-conformal,True,0.9211822660098522,0.92807881773399,0.006896551724137834,18.07115990636116,18.957097722168008,24.30201064821784,24.51375523870531,0.008637786761986664
belgrade,3,NGBoost,True,0.6620689655172414,0.6591133004926109,-0.002955665024630516,8.500674042958485,8.517586048795959,33.92405808313167,33.78573844467804,0.004077331730616517
belgrade,3,NGBoost-conformal,True,0.8591133004926108,0.8482758620689655,-0.010837438423645263,13.571749498839829,13.243715772912164,25.87929830938797,26.00958453139505,0.0050091619821845445
belgrade,4,NGBoost,True,0.7428571428571429,0.7408866995073892,-0.0019704433497537144,11.864994037962362,11.855651219330994,30.246649154304176,30.08560872146135,0.005324240447967377
belgrade,4,NGBoost-conformal,True,0.9339901477832512,0.9369458128078818,0.002955665024630627,19.694040397366955,19.68481706163275,27.774436966634543,27.766216735998608,0.0002959638982352687
belgrade,5,NGBoost,True,0.8916256157635468,0.8926108374384236,0.0009852216748768017,13.5678461968146,13.5695013418661,23.75963849920065,23.73596359832652,0.00099643354737603
belgrade,5,NGBoost-conformal,True,0.9014778325123152,0.903448275862069,0.0019704433497538254,14.05805123717825,14.012611129122488,23.74248669553032,23.72471801876161,0.0007483915647325898
belgrade,6,NGBoost,True,0.8226600985221675,0.8226600985221675,0.0,6.527764423800328,6.528396799415585,14.349054507389868,14.370708469163702,0.001506812403876887
belgrade,6,NGBoost-conformal,True,0.8916256157635468,0.8906403940886699,-0.0009852216748769127,8.056001048166005,8.082092860101817,13.723007605638184,13.730025833603095,0.000511159123075707
belgrade,7,NGBoost,True,0.7152709359605911,0.716256157635468,0.0009852216748769127,33.84192753573086,33.847146105617114,81.1376108573399,80.58521684350092,0.006808112883804574
belgrade,7,NGBoost-conformal,True,0.8108374384236453,0.8108374384236453,0.0,39.46458993119597,39.46980850108223,73.75163392685202,73.25128272004288,0.006784272838014658
belgrade,8,NGBoost,False,0.4866995073891625,0.4679802955665024,-0.01871921182266012,16.597072957427947,10.29731868298645,101.29375758377977,153.85539890741495,0.3416301390584612
belgrade,8,NGBoost-conformal,False,0.865024630541872,0.787192118226601,-0.077832512315271,26.335081146612666,16.340351354108723,84.02829966394577,136.64244579779685,0.38504979786229354
belgrade,9,NGBoost,True,0.6926108374384237,0.6926108374384237,0.0,3.5558573074417144,3.5547987006814803,21.9639074014946,21.90028322642844,0.0028967603033069698
belgrade,9,NGBoost-conformal,True,0.8078817733990148,0.8088669950738916,0.0009852216748768017,6.090687869402175,6.089629262641942,18.30167832855515,18.242642788531217,0.003225689959364056
belgrade,10,NGBoost,False,0.8285714285714286,0.8285714285714286,0.0,1.9953860555239915,1.9955783522478032,3.995801122900657,3.959772681010575,0.009016575345453583
belgrade,10,NGBoost-conformal,False,0.9724137931034482,0.9714285714285714,-0.0009852216748768017,3.934639601473032,3.934831898196844,4.344916137661119,4.316761219550627,0.006479968132514563
