fi,fj,dist_km,resid_corr
2,3,0.7811727502234879,0.08588142278682961
2,4,0.4341173387432492,0.0076889862144810285
2,5,2.5098423602752264,0.04045883371691303
2,6,1.832201468315607,0.08575989671542188
2,7,13.856975489903045,0.006558906313929612
2,8,1.3008116063497543,-0.0697741152132562
2,9,4.467595612061736,-0.004198454195228115
2,11,0.6111483627153782,-0.054382727309720054
2,12,2.575014025231261,-0.004524067428391931
2,13,3.995099906336292,0.06482164438896408
2,14,4.113142008298722,-0.005181606349475677
2,15,2.1136957165078227,-0.10655208425177488
2,16,0.9540695844739995,0.007716353703546878
2,17,5.837145781603375,0.06527649752808903
2,18,3.6066947418600614,0.0033300084898186385
2,19,1.181058044725571,-0.017094323253237714
2,20,4.621213869735913,-0.13134853214645006
2,21,0.7785063280745238,0.029857350021010354
2,22,8.371736191886756,0.0461987686905973
2,23,1.1687967108912958,-0.016240845519371678
3,4,0.481615256265442,0.24560593816921442
3,5,2.122665998593609,0.019460269084921867
3,6,1.9834232441904627,0.23275081193218664
3,7,13.373106697039919,0.13496997391460128
3,8,1.9341295431817056,-0.08933640881552082
3,9,4.479284573096462,-0.051829501640430986
3,11,1.3923000741100906,0.009657317647045992
3,12,1.8679721668545761,0.09210336411549663
3,13,4.579371367225372,0.04177024145724216
3,14,3.391311835340705,0.08170421187206338
3,15,1.3596642080396644,0.027049830483348164
3,16,0.6627522192053856,0.025385439854749153
3,17,5.060373524872009,-0.02310994053140668
3,18,4.305876902719562,-0.0037348670586912257
3,19,1.9348789093006844,-0.0001918513360975748
3,20,4.705925914766553,0.06317637936613416
3,21,0.2706575969790195,0.1638988484313905
3,22,7.797673317628693,-0.04418251945273374
3,23,1.1394187610720392,-0.017183686339421172
4,5,2.5134239479848954,0.04760766622391987
4,6,2.098528072816214,-0.018526185730248737
4,7,13.816602900374692,0.04417729087112615
4,8,1.4526833402313977,-0.056871177747256044
4,9,4.69450003169089,-0.14021694573457646
4,11,1.004263877518869,-0.039343320632225856
4,12,2.152568787171952,0.04487347901453959
4,13,4.420851678236489,0.02681680024569693
4,14,3.8714464970015605,0.046244037606023
4,15,1.7163111005949563,0.16303014395571164
4,16,0.5323388641028108,0.12245365451301675
4,17,5.50648194755534,0.026926217076636002
4,18,3.826863457071159,0.015875995215091067
4,19,1.4839202721248437,0.015665439179549885
4,20,4.881706774560194,0.14945782597703458
4,21,0.6250231164628504,0.07214117903801086
4,22,8.263951436887115,-0.03617471053588416
4,23,0.8497483944618239,-0.0856307674888276
5,6,1.524816437214237,0.008993766097567045
5,7,11.348552493981366,0.09248443365290196
5,8,3.80379960586532,0.03985738261753013
5,9,2.7552641837364313,-0.018121423804730204
5,11,2.9200129338761838,-0.014919840279079846
5,12,3.0378380998577152,-0.020541806235236253
5,13,4.43698193212845,-0.0671676301805746
5,14,2.3849345161190993,0.09753660714259801
5,15,2.4819924117339096,0.03347037063731592
5,16,2.7720854871597442,0.032400106566215545
5,17,4.4958470400714585,0.046108265137862356
5,18,5.997121251698674,-0.018822939273421827
5,19,3.561956594004081,-0.02264392762724941
5,20,3.1125297695878418,0.013457851489368986
5,21,1.897044730248498,0.05055204028459544
5,22,5.93137597324604,0.04861678013126302
5,23,3.2609533827057042,-0.052139501617809086
6,7,12.483929823389612,0.019398965667072398
6,8,2.9077770570199024,0.04739798767709369
6,9,2.6411458468056312,-0.11306700984819987
6,11,1.9317480225820691,-0.021438050041447665
6,12,3.6459062913438087,0.055850848288499344
6,13,3.008948945470007,-0.026721402569480777
6,14,3.857860278162211,0.17537617784392684
6,15,3.058917729417456,0.010497050062366115
6,16,2.5776252804020343,-0.0703878104998171
6,17,5.922114953975877,-0.041446548049254205
6,18,4.788818690795419,-0.0691813064873968
6,19,2.4997506616931853,0.01470131439448016
6,20,2.791036527408077,-0.052939251499819866
