city,method,n,PICP,std,Winkler,old_at_target,safety,exact
belgrade,split-CP,22,0.8992386923421404,0.0408239734523081,26.826566293558642,0.6363636363636364,0.4090909090909091,0.0
belgrade,CQR,22,0.8992834751455441,0.02821725824421061,20.096862489846636,0.7727272727272727,0.36363636363636365,0.0
belgrade,ACI,22,0.8858038513210927,0.006420405697902917,22.307402983924568,1.0,0.0,0.0
belgrade,ACQR,22,0.8865651589789518,0.005044740470021839,20.06759011281808,0.9090909090909091,0.0,0.0
birmingham,split-CP,28,0.9065820611511572,0.051329996669428835,175.36078089923166,0.7142857142857143,0.25,0.0
birmingham,CQR,28,0.9021100120074138,0.04169890673411504,172.66008590461453,0.75,0.25,0.0
birmingham,ACI,28,0.8882144716931071,0.009381713754849225,176.28783210114995,1.0,0.0,0.0
birmingham,ACQR,28,0.8913335204752532,0.01362977550399902,176.7923695074533,1.0,0.0,0.0
