facility_id,horizon,level,method,n_test,n_cal,PICP_corrected,MPIW_corrected,Winkler_corrected,PICP_legacy,MPIW_legacy,Winkler_legacy,d_PICP,d_MPIW,d_Winkler,rel_MPIW,rel_Winkler,arm_role,gate,gamma_held,gamma_legacy_would_select
2,y_t+15min,0.9,split-CP,1015,760,0.934975369458128,22.070281746031696,26.596532078348563,0.934975369458128,22.070281746031696,26.596532078348563,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
2,y_t+15min,0.9,CQR,1015,760,0.9103448275862068,16.045712541627385,21.64316392978546,0.9103448275862068,16.045712541627385,21.64316392978546,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
2,y_t+15min,0.9,ACI,1015,760,0.8886699507389163,15.94900199342712,25.020959179645388,0.8886699507389163,16.088645363084282,25.070428660520285,0.0,0.139643369657163,0.0494694808748974,0.0087556180452364,0.0019771216810561,treated,N/A-mechanism-arm,0.05,0.002
2,y_t+15min,0.9,ACQR,1015,760,0.8886699507389163,16.375418287470165,22.565361379572938,0.8886699507389163,16.501160762908743,22.63044896193978,0.0,0.125742475438578,0.0650875823668428,0.0076787336501072,0.0028844023932079,treated,N/A-mechanism-arm,0.05,0.002
3,y_t+15min,0.9,split-CP,1015,760,0.9004926108374385,16.435103194242355,27.415201607414662,0.9004926108374385,16.435103194242355,27.415201607414662,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
3,y_t+15min,0.9,CQR,1015,760,0.8817733990147784,13.494300006783837,25.349882616313288,0.8817733990147784,13.494300006783837,25.349882616313288,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
3,y_t+15min,0.9,ACI,1015,760,0.8876847290640394,15.11788203045814,23.694048554957178,0.8876847290640394,15.204197911115523,23.86552757770874,0.0,0.0863158806573842,0.1714790227515621,0.0057095220404209,0.0072372191841265,treated,N/A-mechanism-arm,0.05,0.02
3,y_t+15min,0.9,ACQR,1015,760,0.8886699507389163,16.067873081649207,24.783859147917283,0.8886699507389163,16.24959179214758,24.87671856719588,0.0,0.181718710498373,0.0928594192785929,0.0113094439802309,0.0037467699733274,treated,N/A-mechanism-arm,0.05,0.02
4,y_t+15min,0.9,split-CP,1015,760,0.9586206896551724,27.18944717927576,33.83328625973553,0.9586206896551724,27.18944717927576,33.83328625973553,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
4,y_t+15min,0.9,CQR,1015,760,0.9270935960591132,19.0514673363069,28.23807538060837,0.9270935960591132,19.0514673363069,28.23807538060837,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
