facility_id,horizon,model,MAE,RMSE
2,y_t+5min,RF-delta,1.6148223866743023,2.497989926991009
2,y_t+5min,persistence,2.1890962671905703,3.658527460975413
2,y_t+5min,RF-absolute,3.40915574575864,4.995771155582968
2,y_t+15min,RF-delta,3.444667269216632,5.283023349991335
2,y_t+15min,persistence,5.83857236411264,9.633674476118117
2,y_t+15min,RF-absolute,5.584024201340758,8.134710457242353
2,y_t+30min,RF-delta,5.167324888703039,7.767392069326213
2,y_t+30min,persistence,10.97119600808633,17.92479617913852
2,y_t+30min,RF-absolute,8.445621400430513,12.36220095952286
3,y_t+5min,RF-delta,1.616148839172906,2.5467353846190663
3,y_t+5min,persistence,1.993123772102161,3.220867956795224
3,y_t+5min,RF-absolute,3.681479867613828,5.111381318296213
3,y_t+15min,RF-delta,3.4290068995028475,5.500194116468021
3,y_t+15min,persistence,5.132285527177473,8.176961155282099
3,y_t+15min,RF-absolute,5.744584595664291,8.188473579004196
3,y_t+30min,RF-delta,5.352807164657086,8.61986288300345
3,y_t+30min,persistence,9.621982218615644,14.943269397384771
3,y_t+30min,RF-absolute,8.443506571557789,12.122082424902157
4,y_t+5min,RF-delta,1.9660661635761096,3.2250207660775314
4,y_t+5min,persistence,2.6784544859201045,4.43063027235935
4,y_t+5min,RF-absolute,4.036257854470896,6.041848542062352
4,y_t+15min,RF-delta,4.21887671439108,6.812896280707823
4,y_t+15min,persistence,7.064014407334644,11.578138484497767
4,y_t+15min,RF-absolute,6.634976320825898,9.748045087894123
4,y_t+30min,RF-delta,6.690056335605723,10.34328471992522
4,y_t+30min,persistence,13.394631061188464,21.66840730142565
4,y_t+30min,RF-absolute,9.071796514958232,12.979837321450226
5,y_t+5min,RF-delta,1.391868550244778,2.539588507244653
5,y_t+5min,persistence,1.7421414538310418,3.6146478239341406
5,y_t+5min,RF-absolute,3.088888750034253,5.17301291852734
5,y_t+15min,RF-delta,3.2779914668392074,5.703065988300093
5,y_t+15min,persistence,4.627537655533726,9.50774767654317
5,y_t+15min,RF-absolute,5.5410888708359165,8.595018255642213
5,y_t+30min,RF-delta,5.739214002031038,9.257656010791983
5,y_t+30min,persistence,8.588492639731214,17.448592888981967
5,y_t+30min,RF-absolute,9.292440497014866,15.23351204344261
6,y_t+5min,RF-delta,0.9720622883219888,1.51452887660966
6,y_t+5min,persistence,0.9299279633267844,1.5278824555832238
6,y_t+5min,RF-absolute,1.9179935083244284,3.2510394925554067
6,y_t+15min,RF-delta,2.096189905711148,3.3274700227829337
6,y_t+15min,persistence,2.0744924688932547,3.405942166746524
6,y_t+15min,RF-absolute,2.904339475125944,4.774902251073568
6,y_t+30min,RF-delta,2.9659388387035106,4.862081921723621
6,y_t+30min,persistence,3.1871373252470034,5.277050881373769
6,y_t+30min,RF-absolute,3.607637142649261,5.855109620642125
7,y_t+5min,RF-delta,4.933728433980523,7.358828471687221
7,y_t+5min,persistence,5.88867059593975,8.918455928295353
7,y_t+5min,RF-absolute,8.895481227751363,13.395797241135964
7,y_t+15min,RF-delta,12.515609130764094,18.11306971458629
7,y_t+15min,persistence,16.271938441388343,23.191455762598466
7,y_t+15min,RF-absolute,16.11774826930782,23.22464299224865
7,y_t+30min,RF-delta,19.92838179060108,28.5665924853921
7,y_t+30min,persistence,29.152596025170123,40.20925889985296
7,y_t+30min,RF-absolute,22.37544493914925,31.025453008602348
8,y_t+5min,RF-delta,4.702705294123761,9.024490323182048
8,y_t+5min,persistence,0.2141453831041257,4.831340058239506
8,y_t+5min,RF-absolute,27.99798656718745,33.985104535378184
8,y_t+15min,RF-delta,10.861376894470952,18.51699752985945
8,y_t+15min,persistence,0.6424361493123772,8.368126449513602
8,y_t+15min,RF-absolute,35.58819293588424,40.56490521581226
8,y_t+30min,RF-delta,14.615622138075585,22.57322809465638
8,y_t+30min,persistence,1.2848722986247545,11.83431791655515
8,y_t+30min,RF-absolute,40.26035180377543,44.99734621828376
9,y_t+5min,RF-delta,0.9090230094706956,1.6013574003164113
9,y_t+5min,persistence,1.0032743942370663,1.8692236206240047
9,y_t+5min,RF-absolute,2.2212361057955645,4.48549130235514
9,y_t+15min,RF-delta,2.0959389743633388,3.703585516164343
9,y_t+15min,persistence,2.499345121152589,4.731009326442861
9,y_t+15min,RF-absolute,3.68800579545337,7.642248641360926
9,y_t+30min,RF-delta,3.657117231840424,6.320971350886913
9,y_t+30min,persistence,4.670910566327838,8.660073103927989
9,y_t+30min,RF-absolute,4.794647775150687,8.69604485454193
11,y_t+5min,RF-delta,0.6772605461599814,1.1394535364812906
11,y_t+5min,persistence,0.6440733464309104,1.2949408720242237
11,y_t+5min,RF-absolute,1.3248432445319729,2.096943941521724
11,y_t+15min,RF-delta,1.4121809089322594,2.474273508591864
11,y_t+15min,persistence,1.5222658808120495,3.1541994266594893
11,y_t+15min,RF-absolute,2.1997332475563094,3.4696499813462447
11,y_t+30min,RF-delta,2.3406112633734977,4.361876923067188
11,y_t+30min,persistence,2.755099513111813,5.68082670779638
11,y_t+30min,RF-absolute,3.311781354909168,5.4222108006239
12,y_t+5min,RF-delta,1.52129815109125,2.591793965920502
12,y_t+5min,persistence,1.402586771447282,2.403774636653804
12,y_t+5min,RF-absolute,3.2355837764205964,6.0720462031081
12,y_t+15min,RF-delta,3.4759370506067464,5.981254494313899
12,y_t+15min,persistence,3.3104125736738705,5.595614687664746
12,y_t+15min,RF-absolute,5.070355618054911,9.149359491405498
12,y_t+30min,RF-delta,5.877131707182976,10.10659516644776
12,y_t+30min,persistence,5.535924731642038,9.335024060713447
12,y_t+30min,RF-absolute,7.178829666714591,12.941458889876744
13,y_t+5min,RF-delta,1.7000474612931638,3.014020824054191
13,y_t+5min,persistence,3.0753110674525206,6.097064685027699
13,y_t+5min,RF-absolute,3.613610077822373,7.165318866695714
13,y_t+15min,RF-delta,3.845208575369184,6.992953954433998
13,y_t+15min,persistence,8.778650949574327,17.328414747205464
13,y_t+15min,RF-absolute,5.681101394158125,10.95709587520613
13,y_t+30min,RF-delta,6.3053433851047895,11.173827619722635
13,y_t+30min,persistence,16.966915805358617,33.27005034861865
13,y_t+30min,RF-absolute,7.68394801073157,14.51793667253683
14,y_t+5min,RF-delta,2.251045660317271,3.1809735363139016
14,y_t+5min,persistence,2.607727570399476,3.8291668938077184
14,y_t+5min,RF-absolute,4.533622013214719,6.158534779092437
14,y_t+15min,RF-delta,5.272379360189037,7.212728763642246
14,y_t+15min,persistence,6.946627373935821,9.770379995501417
14,y_t+15min,RF-absolute,7.443414368979808,10.311460971809089
14,y_t+30min,RF-delta,9.24364587622456,12.150593723643558
14,y_t+30min,persistence,13.200176888471283,18.086176190905142
14,y_t+30min,RF-absolute,11.758568621420643,15.379072291260934
15,y_t+5min,RF-delta,1.1207972853203705,1.7637666461422563
15,y_t+5min,persistence,1.0455140798952196,1.8190039517701264
15,y_t+5min,RF-absolute,2.009354428960767,3.0256854505385102
15,y_t+15min,RF-delta,2.4289164694270298,3.7950178239040815
15,y_t+15min,persistence,2.546005239030779,4.258641073620956
15,y_t+15min,RF-absolute,3.152805489819609,4.934987314599914
15,y_t+30min,RF-delta,4.009492502894401,6.258180749343941
15,y_t+30min,persistence,4.586857222174767,7.544885592638535
15,y_t+30min,RF-absolute,4.957305816282645,7.859831251693309
16,y_t+5min,RF-delta,0.6993582863554622,1.0440758960827716
16,y_t+5min,persistence,0.6527504911591355,1.0756046410328448
16,y_t+5min,RF-absolute,1.2886264185497975,1.89587494968077
16,y_t+15min,RF-delta,1.4910190867534925,2.1556937658130257
16,y_t+15min,persistence,1.473804846103471,2.3760474315709432
16,y_t+15min,RF-absolute,2.1077304860514583,3.112059270292773
16,y_t+30min,RF-delta,2.2960218506097854,3.2960840915018386
16,y_t+30min,persistence,2.5769906181486864,4.021782271998769
16,y_t+30min,RF-absolute,3.2075504234839336,4.665583321842349
17,y_t+5min,RF-delta,0.931319647026916,1.4101159570929416
17,y_t+5min,persistence,0.9037328094302554,1.4999818088105987
17,y_t+5min,RF-absolute,1.6639623575235074,2.4194904292868444
