facility_id,dynamic,bucket,method,PICP,MPIW,n_cell,n_own,n_init,fell_back,gamma,degenerate
4,True,evening,ACI,0.9829059829059829,22.74133030344142,117,141,141,False,0.02,False
4,True,night,ToD-ACI,0.9122807017543859,16.23675374252128,285,177,177,False,0.02,False
4,True,am_rush,ToD-ACI,0.875,21.543353835978838,192,96,96,False,0.02,False
4,True,midday,ToD-ACI,0.896,20.92071895262145,250,202,202,False,0.02,False
4,True,pm_rush,ToD-ACI,0.8947368421052632,34.653521187227334,171,144,144,False,0.02,False
4,True,evening,ToD-ACI,0.9230769230769231,18.678825713381272,117,141,141,False,0.02,False
5,True,night,split-CP,1.0,15.060436507936402,285,177,177,False,0.01,False
5,True,am_rush,split-CP,0.8958333333333334,15.060436507936402,192,96,96,False,0.01,False
5,True,midday,split-CP,0.836,15.060436507936402,250,202,202,False,0.01,False
5,True,pm_rush,split-CP,0.8128654970760234,15.060436507936403,171,144,144,False,0.01,False
5,True,evening,split-CP,0.8803418803418803,15.060436507936402,117,141,141,False,0.01,False
5,True,night,Mondrian-split-CP,0.9894736842105263,8.048753968254005,285,177,177,False,0.01,False
5,True,am_rush,Mondrian-split-CP,0.8802083333333334,14.80488888888892,192,96,96,False,0.01,False
5,True,midday,Mondrian-split-CP,0.904,19.301645502645524,250,202,202,False,0.01,False
5,True,pm_rush,Mondrian-split-CP,0.8654970760233918,17.954321428571408,171,144,144,False,0.01,False
5,True,evening,Mondrian-split-CP,0.7948717948717948,8.654814814814813,117,141,141,False,0.01,False
5,True,night,ACI,1.0,15.44425608001485,285,177,177,False,0.01,False
5,True,am_rush,ACI,0.9010416666666666,12.193100246011698,192,96,96,False,0.01,False
5,True,midday,ACI,0.816,16.91796069404669,250,202,202,False,0.01,False
5,True,pm_rush,ACI,0.8304093567251462,16.912069585439465,171,144,144,False,0.01,False
5,True,evening,ACI,0.905982905982906,22.7588360209749,117,141,141,False,0.01,False
5,True,night,ToD-ACI,0.9157894736842105,4.499192991738599,285,177,177,False,0.01,False
5,True,am_rush,ToD-ACI,0.875,14.33036131196157,192,96,96,False,0.01,False
5,True,midday,ToD-ACI,0.896,17.875568374218375,250,202,202,False,0.01,False
5,True,pm_rush,ToD-ACI,0.9064327485380117,19.943629575481882,171,144,144,False,0.01,False
5,True,evening,ToD-ACI,0.8547008547008547,21.924598584543027,117,141,141,False,0.01,False
6,True,night,split-CP,0.9824561403508771,8.478773809523801,285,177,177,False,0.02,False
6,True,am_rush,split-CP,0.8802083333333334,8.478773809523801,192,96,96,False,0.02,False
6,True,midday,split-CP,0.888,8.478773809523801,250,202,202,False,0.02,False
6,True,pm_rush,split-CP,0.7485380116959064,8.478773809523801,171,144,144,False,0.02,False
