facility_id,horizon,level,method,PICP,MPIW,Winkler,picp_lo,picp_hi
1,y_t+30min,0.8,split-CP,0.7651006711409396,27.283626984127004,48.69851636674288,,
1,y_t+30min,0.8,ACI,0.785234899328859,30.99153636063788,49.8175277685588,,
1,y_t+30min,0.85,split-CP,0.825503355704698,34.122678571428594,53.37901522632228,,
1,y_t+30min,0.85,ACI,0.8389261744966443,42.44120344830412,57.84827280636343,,
1,y_t+30min,0.9,split-CP,0.912751677852349,44.52598015873013,61.08776328146127,0.8714285714285714,0.9646428571428568
1,y_t+30min,0.9,ACI,0.8926174496644296,49.83341740315986,67.58718930333275,0.8285714285714286,0.9357142857142856
1,y_t+30min,0.95,split-CP,0.959731543624161,57.37726785714291,73.34942429689997,,
1,y_t+30min,0.95,ACI,0.9463087248322148,67.58580768308869,77.69170694229332,,
1,y_t+30min,0.9,CQR,0.8590604026845637,41.4922207217834,62.85329322270447,0.7928571428571428,0.9142857142857144
1,y_t+30min,0.95,CQR,0.9463087248322148,53.12325273207179,71.71727472413626,,
1,y_t+60min,0.8,split-CP,0.7583892617449665,46.9821428571429,88.48249067859807,,
1,y_t+60min,0.8,ACI,0.785234899328859,55.02932623454101,91.85388054441832,,
1,y_t+60min,0.85,split-CP,0.8322147651006712,58.66735317460321,98.72872057987996,,
1,y_t+60min,0.85,ACI,0.8389261744966443,71.39240729805243,108.1831950009039,,
1,y_t+60min,0.9,split-CP,0.9261744966442952,83.79808333333334,115.51900575263664,0.8857142857142857,0.9857142857142858
1,y_t+60min,0.9,ACI,0.8859060402684564,100.87327819058274,135.032830363801,0.8285714285714286,0.9428571428571428
1,y_t+60min,0.95,split-CP,0.9463087248322148,104.74847619047618,142.33812783636944,,
1,y_t+60min,0.95,ACI,0.9395973154362416,110.14039147224888,162.7206415521466,,
1,y_t+60min,0.9,CQR,0.912751677852349,80.04540281658073,96.65531482447852,0.8642857142857143,0.9571428571428572
1,y_t+60min,0.95,CQR,0.9664429530201344,109.66729541058676,124.69635837096848,,
1,y_t+90min,0.8,split-CP,0.7449664429530202,60.28308333333338,130.52476921791,,
