facility_id,horizon,level,method,PICP,MPIW,Winkler,picp_lo,picp_hi
2,y_t+15min,0.9,EnbPI,0.918467583497053,18.655908128008807,24.685726660393584,0.892,0.944
2,y_t+15min,0.9,AgACI-style,0.9273084479371316,18.54204925689737,24.594054440561536,0.908,0.946
2,y_t+15min,0.9,NGBoost,0.7730844793713163,9.349860474770452,26.802015914922272,0.731,0.812
3,y_t+15min,0.9,EnbPI,0.9155206286836935,18.016643333577264,27.359673497986066,0.87695,0.948
3,y_t+15min,0.9,AgACI-style,0.9273084479371316,18.73794796877082,25.62718502335324,0.9,0.951
3,y_t+15min,0.9,NGBoost,0.6434184675834971,8.32776857488772,33.459838705386964,0.56995,0.70505
4,y_t+15min,0.9,EnbPI,0.9302554027504912,23.438272508547254,31.612147075488025,0.909,0.956
4,y_t+15min,0.9,AgACI-style,0.9351669941060904,21.91237509114998,31.06173287128908,0.914,0.957
4,y_t+15min,0.9,NGBoost,0.7485265225933202,12.25772417515298,29.994524749452097,0.708,0.799
5,y_t+15min,0.9,EnbPI,0.962671905697446,24.12098640572642,29.027622859467776,0.947,0.97805
5,y_t+15min,0.9,AgACI-style,0.9341846758349706,18.837692116610743,27.71596790641936,0.916,0.95305
5,y_t+15min,0.9,NGBoost,0.9037328094302554,13.654529983659884,23.21439768240115,0.88095,0.927
6,y_t+15min,0.9,EnbPI,0.948919449901768,11.128539483959749,15.29834214119816,0.92195,0.97
6,y_t+15min,0.9,AgACI-style,0.924361493123772,11.547823387490103,15.597822508191395,0.90095,0.945
6,y_t+15min,0.9,NGBoost,0.8172888015717092,6.519298268201997,14.265909507017769,0.78295,0.84505
7,y_t+15min,0.9,EnbPI,0.8781925343811395,56.29400388831779,87.43351619969731,0.83895,0.91105
7,y_t+15min,0.9,AgACI-style,0.9165029469548134,68.41774760103984,83.66749187560154,0.888,0.93805
7,y_t+15min,0.9,NGBoost,0.7180746561886051,33.61775842007266,82.59576995120764,0.668,0.76105
8,y_t+15min,0.9,EnbPI,0.6296660117878192,32.385033572643955,127.98845997613216,0.5159,0.738
8,y_t+15min,0.9,AgACI-style,0.9469548133595284,32.854149698684715,44.9921879484608,0.92095,0.969
8,y_t+15min,0.9,NGBoost,0.4842829076620825,10.80191836584312,143.1936084143802,0.379,0.573
9,y_t+15min,0.9,EnbPI,0.787819253438114,7.034768413938421,24.226577213454554,0.72095,0.84705
9,y_t+15min,0.9,AgACI-style,0.9351669941060904,11.828943491680596,14.587644838886286,0.912,0.956
