window,facility_id,occ_over_cap_train,selected
weekday,9,0.9958646392776855,1
weekday,12,0.8831664580725908,1
weekday,7,0.7480940035895627,1
weekday,13,0.723745032946029,1
weekday,14,0.6898856218371993,0
weekday,15,0.6784784010315926,0
weekday,23,0.6452962035878181,0
weekday,18,0.622049138804458,0
weekday,2,0.4643452772022035,0
weekday,21,0.43574058919803604,0
weekday,20,0.43016333548248437,0
weekday,5,0.400135986108496,0
weekday,22,0.3931509625126647,0
weekday,17,0.38254100177304967,0
weekday,6,0.37468524932651603,0
weekday,19,0.19433448787728846,0
weekday,4,0.15498315370153198,0
weekday,3,0.1334830575256107,0
weekday,11,0.12642415923129718,0
weekday,16,0.028643115214773186,0
weekend,9,0.9308145250783765,1
weekend,23,0.8791858900422914,1
weekend,18,0.8759434329287271,1
weekend,5,0.8728068907012166,1
weekend,2,0.8699719000822815,0
weekend,13,0.8604940203031567,0
weekend,22,0.8235594237695079,0
weekend,20,0.7940681323034264,0
weekend,7,0.7767186903600662,0
weekend,21,0.715462386877828,0
weekend,12,0.6532385733993713,0
weekend,14,0.6126150725542207,0
weekend,11,0.48031309297912717,0
weekend,4,0.4311130839037277,0
weekend,19,0.42081813345493235,0
weekend,15,0.40527332144979206,0
weekend,3,0.34809731299927377,0
weekend,6,0.2972399554136901,0
weekend,17,0.14399509803921567,0
weekend,16,0.09235109137994821,0
