facility_id,horizon,level,method,n_test,n_cal,PICP_corrected,MPIW_corrected,Winkler_corrected,PICP_legacy,MPIW_legacy,Winkler_legacy,d_PICP,d_MPIW,d_Winkler,rel_MPIW,rel_Winkler,arm_role,gate,gamma_held,gamma_legacy_would_select
2,y_t+15min,0.9,split-CP,1015,760,0.934975369458128,22.070281746031696,26.596532078348563,0.934975369458128,22.070281746031696,26.596532078348563,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
2,y_t+15min,0.9,CQR,1015,760,0.9103448275862068,16.045712541627385,21.64316392978546,0.9103448275862068,16.045712541627385,21.64316392978546,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
2,y_t+15min,0.9,ACI,1015,760,0.8847290640394089,17.666486975668015,26.361809674862624,0.8857142857142857,17.645979220186863,26.37990406800826,0.0009852216748768,-0.0205077554811516,0.0180943931456347,-0.0011608281549918,0.0006863866088407,treated,PASS,0.002,0.002
2,y_t+15min,0.9,ACQR,1015,760,0.8926108374384236,15.11215530660628,21.69515078918489,0.8926108374384236,15.17932493520431,21.70267526445422,0.0,0.0671696285980285,0.0075244752693315,0.0044447418144693,0.0003468275165472,treated,PASS,0.005,0.002
3,y_t+15min,0.9,split-CP,1015,760,0.9004926108374385,16.435103194242355,27.41520160741466,0.9004926108374385,16.435103194242355,27.41520160741466,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
3,y_t+15min,0.9,CQR,1015,760,0.8817733990147784,13.494300006783837,25.349882616313288,0.8817733990147784,13.494300006783837,25.349882616313288,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
3,y_t+15min,0.9,ACI,1015,760,0.8916256157635468,16.65656652844054,26.581122878950097,0.8926108374384236,16.796977625690314,26.6681268993322,0.0009852216748768,0.1404110972497747,0.0870040203820963,0.0084297743481543,0.0032731506783333,treated,PASS,0.02,0.02
3,y_t+15min,0.9,ACQR,1015,760,0.8985221674876848,15.593075678827482,24.62947471489451,0.8985221674876848,15.738416330454458,24.67765765029204,0.0,0.1453406516269755,0.0481829353975236,0.0093208456510168,0.0019563119374358,treated,PASS,0.02,0.02
4,y_t+15min,0.9,split-CP,1015,760,0.9586206896551724,27.18944717927576,33.83328625973553,0.9586206896551724,27.18944717927576,33.83328625973553,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
4,y_t+15min,0.9,CQR,1015,760,0.9270935960591132,19.0514673363069,28.23807538060837,0.9270935960591132,19.0514673363069,28.23807538060837,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
4,y_t+15min,0.9,ACI,1015,760,0.896551724137931,19.62927553656433,32.709798308264446,0.896551724137931,19.581002048635547,32.818149260846795,0.0,-0.0482734879287818,0.1083509525823487,-0.0024592597846446,0.0033124922251499,treated,PASS,0.02,0.002
4,y_t+15min,0.9,ACQR,1015,760,0.9004926108374385,16.76280075142538,28.351302273817936,0.9004926108374385,16.84425649290434,28.36040298584289,0.0,0.0814557414789582,0.0091007120249528,0.0048593157364846,0.0003209980246077,treated,PASS,0.002,0.005
5,y_t+15min,0.9,split-CP,1015,760,0.8945812807881773,15.060436507936402,27.580129305013543,0.8945812807881773,15.060436507936402,27.580129305013543,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
5,y_t+15min,0.9,CQR,1015,760,0.9339901477832512,16.285559527822606,24.268642364026803,0.9339901477832512,16.285559527822606,24.268642364026803,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
5,y_t+15min,0.9,ACI,1015,760,0.896551724137931,16.282685829669322,28.22647239586722,0.8975369458128079,16.49807876523221,28.34424994699699,0.0009852216748768,0.2153929355628889,0.1177775511297696,0.0132283419219704,0.004172591937029,treated,PASS,0.01,0.05
5,y_t+15min,0.9,ACQR,1015,760,0.896551724137931,15.009447802389351,24.48828340875969,0.896551724137931,15.12156703212852,24.53744994400922,0.0,0.1121192297391697,0.0491665352495296,0.0074699103668105,0.002007757523418,treated,PASS,0.02,0.02
6,y_t+15min,0.9,split-CP,1015,760,0.8945812807881773,8.478773809523801,14.968359711944684,0.8945812807881773,8.478773809523801,14.968359711944684,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
6,y_t+15min,0.9,CQR,1015,760,0.8926108374384236,8.163745723297184,13.781341861408505,0.8926108374384236,8.163745723297184,13.781341861408505,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
6,y_t+15min,0.9,ACI,1015,760,0.8935960591133005,9.508412317521923,15.180987951885736,0.8935960591133005,9.550439592204002,15.298388834805952,0.0,0.0420272746820789,0.1174008829202168,0.0044200097007396,0.0077334151961851,treated,PASS,0.02,0.02
6,y_t+15min,0.9,ACQR,1015,760,0.8935960591133005,9.164139547733416,14.373928517372892,0.8935960591133005,9.265127986517426,14.459375989406814,0.0,0.1009884387840109,0.0854474720339215,0.0110199586396508,0.0059446150668306,treated,PASS,0.02,0.02
7,y_t+15min,0.9,split-CP,1015,760,0.8364532019704434,47.24847222222223,90.93409319976683,0.8364532019704434,47.24847222222223,90.93409319976683,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
7,y_t+15min,0.9,CQR,1015,760,0.8384236453201971,44.96671479418433,74.18462903908338,0.8384236453201971,44.96671479418433,74.18462903908338,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
7,y_t+15min,0.9,ACI,1015,760,0.8926108374384236,65.08852865045009,87.34360891473972,0.8926108374384236,65.7225620896983,87.78244838758212,0.0,0.6340334392482134,0.4388394728424032,0.0097410934368053,0.0050242883056363,treated,PASS,0.02,0.02
7,y_t+15min,0.9,ACQR,1015,760,0.896551724137931,55.21821197597265,71.91048157867799,0.896551724137931,55.46126491509302,71.98420021348893,0.0,0.2430529391203677,0.0737186348109446,0.0044016807213194,0.0010251445017829,treated,PASS,0.02,0.02
9,y_t+15min,0.9,split-CP,1015,760,0.787192118226601,6.781571428571624,21.11459201325928,0.787192118226601,6.781571428571624,21.11459201325928,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
9,y_t+15min,0.9,CQR,1015,760,0.8266009852216749,6.822321766711271,17.193908204239374,0.8266009852216749,6.822321766711271,17.193908204239374,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
9,y_t+15min,0.9,ACI,1015,760,0.8778325123152709,9.919810841111078,15.099078924241232,0.8778325123152709,9.968064178259256,15.051866603165118,0.0,0.0482533371481768,-0.0472123210761132,0.0048643404517552,-0.0031268345117605,treated,PASS,0.02,0.02
9,y_t+15min,0.9,ACQR,1015,760,0.8827586206896552,9.195790952648926,13.52193427102089,0.8827586206896552,9.333285253388697,13.522664429724331,0.0,0.1374943007397693,0.0007301587034422,0.0149518732480714,5.399809589424658e-05,treated,PASS,0.02,0.02
11,y_t+15min,0.9,split-CP,1015,760,0.916256157635468,6.831176706544692,11.930219295227673,0.916256157635468,6.831176706544692,11.930219295227673,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
11,y_t+15min,0.9,CQR,1015,760,0.916256157635468,5.446614041686219,10.10833767057918,0.916256157635468,5.446614041686219,10.10833767057918,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
11,y_t+15min,0.9,ACI,1015,760,0.8945812807881773,6.156980171306525,11.45364010141473,0.8945812807881773,5.959212869938854,11.179972560257658,0.0,-0.197767301367671,-0.2736675411570726,-0.0321208280464064,-0.0238934992486161,treated,PASS,0.02,0.01
11,y_t+15min,0.9,ACQR,1015,760,0.8935960591133005,5.787246173690973,10.548405215562184,0.8945812807881773,5.804329482499887,10.61278120033317,0.0009852216748768,0.0170833088089139,0.0643759847709866,0.0029518890844103,0.0061029116208023,treated,PASS,0.02,0.02
12,y_t+15min,0.9,split-CP,1015,760,0.8334975369458129,13.80213888888892,32.05158695924581,0.8334975369458129,13.80213888888892,32.05158695924581,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
12,y_t+15min,0.9,CQR,1015,760,0.8729064039408867,11.440122955769128,21.79118684073218,0.8729064039408867,11.440122955769128,21.79118684073218,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
12,y_t+15min,0.9,ACI,1015,760,0.8827586206896552,16.244002180833217,25.09502828928051,0.8847290640394089,16.288053225692384,25.46401650206208,0.0019704433497537,0.0440510448591666,0.3689882127815664,0.0027118344585759,0.0147036380484648,treated,PASS,0.02,0.02
12,y_t+15min,0.9,ACQR,1015,760,0.8926108374384236,12.788179656868364,21.900519701700308,0.8935960591133005,12.768427796953851,21.887784284326376,0.0009852216748769,-0.0197518599145105,-0.012735417373932,-0.0015445403837364,-0.0005815121078128,treated,PASS,0.002,0.002
13,y_t+15min,0.9,split-CP,1015,760,0.9044334975369458,23.47727777777777,36.013641294483655,0.9044334975369458,23.47727777777777,36.013641294483655,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
13,y_t+15min,0.9,CQR,1015,760,0.90935960591133,17.333565809757573,28.781182979029523,0.90935960591133,17.333565809757573,28.781182979029523,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
13,y_t+15min,0.9,ACI,1015,760,0.8689655172413793,17.048547622957223,28.61013127794482,0.8699507389162562,17.18828054270122,28.57228165871712,0.0009852216748769,0.1397329197439987,-0.0378496192277069,0.0081961773421588,-0.001322944619163,treated,PASS,0.1,0.1
13,y_t+15min,0.9,ACQR,1015,760,0.8788177339901477,19.48192251766788,28.67065344820596,0.8788177339901477,19.708936469157216,28.76655101482452,0.0,0.2270139514893401,0.0958975666185644,0.0116525435969404,0.0033447987780189,treated,PASS,0.05,0.05
14,y_t+15min,0.9,split-CP,1015,760,0.8817733990147784,22.3779758887254,33.20723929454052,0.8817733990147784,22.3779758887254,33.20723929454052,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
14,y_t+15min,0.9,CQR,1015,760,0.9182266009852216,22.13288314082114,31.752546154050908,0.9182266009852216,22.13288314082114,31.752546154050908,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
14,y_t+15min,0.9,ACI,1015,760,0.8985221674876848,24.048351565621022,33.78540995031242,0.8985221674876848,24.213243355321925,33.8263285018849,0.0,0.1648917897009028,0.0409185515724814,0.0068566774421506,0.0012111308293331,treated,PASS,0.02,0.02
14,y_t+15min,0.9,ACQR,1015,760,0.896551724137931,21.871097503389624,32.11002522135074,0.896551724137931,22.0367275763332,32.123809281774086,0.0,0.1656300729435749,0.0137840604233474,0.0075730115014989,0.0004292759139342,treated,PASS,0.02,0.02
15,y_t+15min,0.9,split-CP,1015,760,0.8817733990147784,10.97495173686922,18.751106085257565,0.8817733990147784,10.97495173686922,18.751106085257565,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
15,y_t+15min,0.9,CQR,1015,760,0.8798029556650246,8.449225309219456,14.940634909775692,0.8798029556650246,8.449225309219456,14.940634909775692,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
15,y_t+15min,0.9,ACI,1015,760,0.8857142857142857,10.630631783537572,18.932148749512667,0.8857142857142857,10.70064102716295,18.906613057413303,0.0,0.0700092436253783,-0.0255356920993605,0.0065856145759646,-0.001348800521125,treated,PASS,0.002,0.002
15,y_t+15min,0.9,ACQR,1015,760,0.8945812807881773,9.205214977104887,14.223993004836329,0.8955665024630541,9.061560374973508,14.295059378694582,0.0009852216748768,-0.1436546021313791,0.0710663738582528,-0.0156057846002157,0.0049962323402499,treated,PASS,0.01,0.01
16,y_t+15min,0.9,split-CP,1015,760,0.8886699507389163,6.422817995341643,9.533438131727788,0.8886699507389163,6.422817995341643,9.533438131727788,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
16,y_t+15min,0.9,CQR,1015,760,0.8935960591133005,5.1193213696438695,7.391212959713287,0.8935960591133005,5.1193213696438695,7.391212959713287,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
16,y_t+15min,0.9,ACI,1015,760,0.9014778325123152,6.434593017199914,9.243300034594125,0.9014778325123152,6.491970398033821,9.267554086193863,0.0,0.0573773808339073,0.0242540515997422,0.008917017856535,0.0026239602208051,treated,PASS,0.02,0.02
16,y_t+15min,0.9,ACQR,1015,760,0.8955665024630541,5.445172670857475,7.41348799716236,0.8955665024630541,5.429399631793572,7.40747027672804,0.0,-0.0157730390639025,-0.0060177204343201,-0.0028967013568403,-0.0008117259293632,treated,PASS,0.02,0.02
17,y_t+15min,0.9,split-CP,1015,760,0.9142857142857144,9.65477737650964,13.23077037001495,0.9142857142857144,9.65477737650964,13.23077037001495,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
17,y_t+15min,0.9,CQR,1015,760,0.8945812807881773,7.152567760586978,10.98557124143152,0.8945812807881773,7.152567760586978,10.98557124143152,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
17,y_t+15min,0.9,ACI,1015,760,0.8896551724137931,8.717822646533362,13.35727011796359,0.8896551724137931,8.765439554884999,13.348405938164191,0.0,0.0476169083516371,-0.0088641797993993,0.0054620184743689,-0.000663622111488,treated,PASS,0.002,0.002
